,종목명,현재가,전일비,등락률,액면가,거래량,상장주식수,시가총액,외국인비율,PER,ROE
0,삼성전자,"72,300",400,+0.56%,100,"10,579,553","5,969,783","4,316,153",52.90,10.91,17.07
1,LG에너지솔루션,"541,000","7,000",+1.31%,500,"403,444","234,000","1,265,940",5.32,121.57,5.75
2,SK하이닉스,"114,600",800,-0.69%,"5,000","2,618,578","728,002","834,291",51.74,-35.81,3.56
3,삼성바이오로직스,"749,000","19,000",+2.60%,"2,500","68,199","71,174","533,093",10.48,67.04,11.42
4,삼성전자우,"59,600",100,+0.17%,100,"528,956","822,887","490,440",72.49,9.00,N/A
5,삼성SDI,"712,000","23,000",+3.34%,"5,000","216,554","68,765","489,603",49.46,24.63,12.52
6,LG화학,"669,000","16,000",+2.45%,"5,000","402,787","70,592","472,263",47.08,32.10,6.95
7,현대차,"203,500",0,0.00%,"5,000","354,124","211,532","430,467",32.51,6.19,9.36
8,POSCO홀딩스,"429,000","11,500",+2.75%,"5,000","1,996,575","84,571","362,811",37.20,17.01,6.11
9,기아,"87,800",600,-0.68%,"5,000","704,345","402,044","352,995",38.20,5.48,14.57
10,NAVER,"200,500","1,500",-0.74%,100,"669,168","164,049","328,918",46.87,51.07,3.29
11,포스코퓨처엠,"391,000","1,000",+0.26%,500,"626,467","77,463","302,881",7.39,250.00,4.87
12,카카오,"51,900",300,+0.58%,100,"1,576,681","444,263","230,573",25.59,181.47,13.54
13,셀트리온,"156,400","3,900",+2.56%,"1,000","1,319,103","146,391","228,955",19.99,39.14,13.35
14,현대모비스,"233,000",500,+0.22%,"5,000","142,168","94,285","219,684",37.26,7.84,6.80
15,LG전자,"121,700","1,500",+1.25%,"5,000","731,215","163,648","199,159",29.58,49.90,6.61
16,삼성물산,"103,400","1,800",+1.77%,100,"260,889","185,592","191,902",18.21,9.02,7.16
17,KB금융,"47,200",200,+0.43%,"5,000","1,032,083","403,511","190,457",72.09,4.36,9.17
18,신한지주,"33,500",150,+0.45%,"5,000","849,643","518,347","173,646",59.00,3.83,9.70
19,SK이노베이션,"164,900","1,100",-0.66%,"5,000","455,393","92,466","152,476",23.50,23.99,8.49
20,삼성생명,"69,000","2,000",-2.82%,500,"302,291","200,000","138,000",16.59,6.83,5.73
21,LG,"85,300",400,-0.47%,"5,000","169,270","157,301","134,178",35.96,12.43,8.48
22,한국전력,"20,800",800,+4.00%,"5,000","1,866,564","641,964","133,529",14.64,-0.57,-46.91
23,HD현대중공업,"145,200","2,500",+1.75%,"5,000","161,809","88,773","128,899",7.22,-65.52,-6.47
24,두산에너빌리티,"18,990",600,+3.26%,"5,000","6,449,086","640,561","121,643",13.54,-18.19,-11.70
25,카카오뱅크,"25,350",800,+3.26%,"5,000","1,491,863","476,767","120,860",14.21,40.50,4.68
26,KT&G,"82,900",900,+1.10%,"5,000","227,556","137,292","113,815",42.81,11.13,11.00
27,하나금융지주,"38,450",50,-0.13%,"5,000","702,584","295,903","113,775",68.41,3.04,10.06
28,삼성화재,"236,500","6,500",-2.67%,500,"80,228","47,375","112,041",52.96,8.28,9.70
29,삼성전기,"148,100","2,400",+1.65%,"5,000","369,227","74,694","110,621",31.54,14.80,13.76
30,하이브,"259,500","3,500",-1.33%,500,"651,580","41,652","108,087",16.31,243.43,1.87
31,SK,"147,400",700,-0.47%,200,"130,718","73,198","107,894",22.18,"-7,370.00",5.13
32,한화오션,"48,250","2,250",+4.89%,"5,000","1,745,590","216,873","104,641",2.15,-3.77,-117.79
33,SK텔레콤,"46,000",100,+0.22%,100,"363,403","218,833","100,663",41.90,10.15,7.97
34,대한항공,"25,650",200,-0.77%,"5,000","1,328,132","368,221","94,449",15.38,6.55,21.95
35,HMM,"19,270",380,+2.01%,"5,000","1,553,367","489,039","94,238",10.92,1.30,64.98
36,크래프톤,"194,200","8,900",+4.80%,100,"141,745","48,363","93,920",31.57,18.26,10.29
37,메리츠금융지주,"44,650",250,+0.56%,500,"389,250","208,218","92,969",15.63,4.81,30.32
38,고려아연,"464,000","10,500",+2.32%,"5,000","35,665","19,863","92,165",20.84,11.86,9.38
39,삼성에스디에스,"118,600",100,+0.08%,500,"84,360","77,378","91,770",16.28,8.31,14.23
40,HD한국조선해양,"128,600",600,+0.47%,"5,000","265,299","70,773","91,014",22.67,-72.78,-2.22
41,우리금융지주,"11,620",70,+0.61%,"5,000","1,433,521","728,061","84,601",38.09,2.63,11.51
42,기업은행,"10,280",30,+0.29%,"5,000","529,561","797,426","81,975",13.88,2.89,9.85
43,포스코인터내셔널,"45,350",50,+0.11%,"5,000","2,164,841","175,923","79,781",5.68,10.13,15.79
44,KT,"29,700",400,+1.37%,"5,000","524,232","261,112","77,550",39.69,6.75,7.99
45,한화솔루션,"45,050","2,150",+5.01%,"5,000","2,046,895","171,893","77,438",24.03,23.01,4.21
46,S-Oil,"67,000",400,+0.60%,"2,500","362,094","112,583","75,430",77.17,5.21,27.20
47,삼성중공업,"8,310",140,+1.71%,"1,000","14,839,432","880,000","73,128",18.50,-14.48,-16.08
48,현대글로비스,"194,900","1,400",+0.72%,500,"90,358","37,500","73,088",47.79,6.20,18.78
49,LG생활건강,"462,500","3,500",+0.76%,"5,000","59,845","15,618","72,234",33.93,37.52,4.41
50,한화에어로스페이스,"141,800","4,600",+3.35%,"5,000","482,792","50,630","71,793",35.22,12.57,6.98
51,LG이노텍,"292,000",500,-0.17%,"5,000","117,626","23,667","69,108",21.24,8.69,25.85
