행정동-연료별 분류,CNG,경유,기타연료,수소,엘피지,전기,하이브리드(CNG-전기),하이브리드(LPG-전기),하이브리드(경유-전기),하이브리드(휘발유-전기),휘발유,휘발유(무연),휘발유(유연),총합계
경기도 군포시 금정동,,,,,,,,,,,1,,,1
경기도 시흥시 정왕본동,,2,,,,,,,,,1,,,3
경기도 안양시 만안구 석수1동,,1,,,,,,,,,,,,1
경기도 평택시 서정동,,1,,,,,,,,,1,,,2
서울특별시 강남구 개포1동,89,1178,10,1,130,20,,3,1,190,917,1058,2,3599
서울특별시 강남구 개포2동,79,2714,12,9,484,111,,4,10,624,2949,2947,5,9948
서울특별시 강남구 개포4동,3,2722,18,9,430,64,,2,6,464,2230,2612,3,8563
서울특별시 강남구 논현1동,3,3608,31,7,420,61,,1,9,416,2661,3309,3,10529
서울특별시 강남구 논현2동,6,3646,22,6,355,103,,7,15,376,2964,2791,4,10295
서울특별시 강남구 논현동,,,,,,,,,,,,1,,1
서울특별시 강남구 대치1동,1,3336,28,17,353,1461,,2,18,1045,4071,4018,10,14360
서울특별시 강남구 대치2동,4,3458,13,10,429,1685,,3,17,889,4403,4146,12,15069
서울특별시 강남구 대치4동,2,1939,5,7,287,3835,,,5,488,1775,1962,1,10306
서울특별시 강남구 도곡1동,,2614,72,13,267,89,,2,4,488,2626,2798,1,8974
서울특별시 강남구 도곡2동,5,3582,61,10,249,132,,1,23,784,5228,3534,6,13615
서울특별시 강남구 삼성1동,20,2690,70,11,331,129,,1,12,373,2365,2375,1,8378
서울특별시 강남구 삼성2동,13,3640,29,3,306,123,,9,9,646,3825,3475,2,12080
서울특별시 강남구 세곡동,19,6059,39,15,1888,170,,15,22,903,4204,5440,8,18782
서울특별시 강남구 수서동,1,1572,5,2,597,48,,4,3,262,1243,1524,,5261
서울특별시 강남구 신사동,,2496,18,4,194,53,,1,17,401,2435,2254,3,7876
서울특별시 강남구 압구정동,,3467,15,4,302,76,,1,19,695,3862,3824,7,12272
서울특별시 강남구 역삼1동,6,6166,49,5,725,505,,4,18,3714,4877,5297,6,21372
서울특별시 강남구 역삼2동,5,4632,31,9,532,211,,3,17,829,4466,4567,3,15305
서울특별시 강남구 일원1동,2,1438,4,7,738,32,,3,1,165,895,1354,2,4641
서울특별시 강남구 일원2동,3,1451,2,8,1005,93,,1,3,336,1441,1873,4,6220
서울특별시 강남구 일원본동,1,2101,9,15,568,54,,4,4,609,2294,2722,3,8384
서울특별시 강남구 청담동,6,3741,30,6,269,141,,3,53,559,4122,2917,3,11850
서울특별시 강동구 강일동,184,4318,28,24,1489,121,2,10,6,484,2300,3867,3,12836
서울특별시 강동구 고덕1동,1,2788,26,12,487,80,,2,4,501,2011,2808,2,8722
서울특별시 강동구 고덕2동,1,2660,19,13,456,82,,4,7,439,1762,2446,3,7892
서울특별시 강동구 길1동,,1,,,,,,,,,,,,1
서울특별시 강동구 길동,2,5360,29,9,2555,168,,9,6,519,2828,4465,8,15958
서울특별시 강동구 둔촌1동,,208,1,,215,6,,,,6,54,72,,562
서울특별시 강동구 둔촌2동,2,2806,12,8,605,38,,3,1,340,1648,2600,,8063
서울특별시 강동구 명일1동,3,2638,20,9,616,54,,3,3,391,1731,2857,,8325
서울특별시 강동구 명일2동,5,1656,8,9,336,33,,2,5,323,1401,2081,3,5862
서울특별시 강동구 상일동,2,4125,33,26,768,109,,8,15,785,2980,4394,8,13253
서울특별시 강동구 상일제1동,,252,6,2,49,45,,1,3,109,268,317,,1052
서울특별시 강동구 상일제2동,3,104,,,23,8,,,,19,56,101,1,315
서울특별시 강동구 성내1동,1,3029,25,8,747,56,,2,3,317,1557,2538,3,8286
서울특별시 강동구 성내2동,12,2425,5,14,606,74,,3,2,191,1144,2023,3,6502
서울특별시 강동구 성내3동,2,2498,16,7,706,39,,3,4,249,1314,2281,3,7122
서울특별시 강동구 암사1동,3,3713,12,8,1140,52,,7,1,385,1814,3211,4,10350
서울특별시 강동구 암사2동,,1651,13,6,389,29,,3,5,207,1113,1611,3,5030
서울특별시 강동구 암사3동,2,1940,18,5,346,29,,1,11,373,1412,2145,2,6284
서울특별시 강동구 천호1동,,3467,27,9,940,71,,3,6,237,1460,2575,1,8796
서울특별시 강동구 천호2동,2,3528,20,12,925,41,,1,,322,1790,2860,7,9508
서울특별시 강동구 천호3동,2,2571,5,6,684,48,,8,5,315,1577,2363,3,7587
서울특별시 강동구 하일동,,5,,,1,,,,,,,1,,7
서울특별시 강북구 미아동,1,1842,5,,497,27,,4,3,110,846,1495,,4830
서울특별시 강북구 번1동,26,1747,5,,673,13,,,1,97,796,1377,1,4736
