`STD_YM`,`ADMI_CD`,`ADMI_NM`,`SEXDSTN_CD`,`AGRDE_CD`,`RSPOP_CNT`,`CTY_NM`
202210,11740570,암사1동,1,0004,395,강동구
202210,11530550,구로4동,1,0004,175,구로구
202210,11620565,성현동,1,0004,330,관악구
202210,11350695,상계6.7동,1,0004,476,노원구
202210,11680521,논현1동,1,0004,138,강남구
202210,11290630,정릉2동,1,0004,269,성북구
202210,11290685,길음2동,1,0004,429,성북구
202210,11230710,회기동,1,0004,56,동대문구
202210,11305534,삼양동,1,0004,240,강북구
202210,11350580,월계3동,1,0004,470,노원구
202210,11470530,목3동,1,0004,298,양천구
202210,11470630,신정2동,1,0004,154,양천구
202210,11410660,홍은1동,1,0004,314,서대문구
202210,11530730,고척2동,1,0004,299,구로구
202210,11305555,송천동,1,0004,172,강북구
202210,11410615,연희동,1,0004,283,서대문구
202210,11305608,번3동,1,0004,145,강북구
202210,11710641,문정1동,1,0004,283,송파구
202210,11140605,을지로동,1,0004,12,중구
202210,11200615,금호2.3가동,1,0004,465,성동구
202210,11290715,월곡1동,1,0004,336,성북구
202210,11410620,홍제1동,1,0004,304,서대문구
202210,11710600,석촌동,1,0004,343,송파구
202210,11410585,신촌동,1,0004,158,서대문구
202210,11545710,시흥5동,1,0004,197,금천구
202210,11710510,풍납1동,1,0004,157,송파구
202210,11560690,신길7동,1,0004,446,영등포구
202210,11500603,가양1동,1,0004,378,강서구
202210,11500640,방화2동,1,0004,280,강서구
202210,11680545,압구정동,1,0004,339,강남구
202210,11230650,장안1동,1,0004,543,동대문구
202210,11740550,고덕1동,1,0004,351,강동구
202210,11650600,방배1동,1,0004,233,서초구
202210,11215810,광장동,1,0004,380,광진구
202210,11530540,구로3동,1,0004,264,구로구
202210,11560535,영등포동,1,0004,323,영등포구
202210,11320521,도봉1동,1,0004,133,도봉구
202210,11200790,용답동,1,0004,73,성동구
202210,11740530,명일1동,1,0004,493,강동구
202210,11305575,삼각산동,1,0004,454,강북구
202210,11200570,행당2동,1,0004,380,성동구
202210,11500620,공항동,1,0004,678,강서구
202210,11620685,신사동,1,0004,140,관악구
202210,11680670,개포2동,1,0004,463,강남구
202210,11215710,화양동,1,0004,70,광진구
202210,11530530,구로2동,1,0004,162,구로구
202210,11560585,도림동,1,0004,217,영등포구
202210,11710646,장지동,1,0004,484,송파구
202210,11740580,암사2동,1,0004,330,강동구
202210,11140635,약수동,1,0004,201,중구
202210,11230560,전농1동,1,0004,349,동대문구
202210,11200690,성수2가3동,1,0004,131,성동구
202210,11740590,암사3동,1,0004,307,강동구
202210,11710531,거여1동,1,0004,128,송파구
