`atdrc_code_se`|`atdrc_nm`|`stdr_ym`|`tot_popltn_co`|`tot_hshld_co`|`hshld_popltn_avrg_co`|`male_popltn_co`|`female_popltn_co`|`ldadng_dt`
`종로구`|`11110`|`201801`|`154619`|`73562`|`2.1`|`75854`|`78765`|`2018-07-25 10:18:33`
`중구`|`11140`|`201801`|`125786`|`60520`|`2.08`|`62267`|`63519`|`2018-07-25 10:18:33`
`용산구`|`11170`|`201801`|`229541`|`107979`|`2.13`|`111100`|`118441`|`2018-07-25 10:18:33`
`성동구`|`11200`|`201801`|`304955`|`133233`|`2.29`|`150316`|`154639`|`2018-07-25 10:18:33`
`광진구`|`11215`|`201801`|`357785`|`161143`|`2.22`|`174428`|`183357`|`2018-07-25 10:18:33`
`동대문구`|`11230`|`201801`|`350118`|`159955`|`2.19`|`175005`|`175113`|`2018-07-25 10:18:33`
`중랑구`|`11260`|`201801`|`407731`|`179184`|`2.28`|`203027`|`204704`|`2018-07-25 10:18:33`
`성북구`|`11290`|`201801`|`443297`|`186939`|`2.37`|`216094`|`227203`|`2018-07-25 10:18:33`
`강북구`|`11305`|`201801`|`324288`|`142708`|`2.27`|`158787`|`165501`|`2018-07-25 10:18:33`
`도봉구`|`11320`|`201801`|`343875`|`137459`|`2.5`|`168572`|`175303`|`2018-07-25 10:18:33`
`노원구`|`11350`|`201801`|`553264`|`217375`|`2.55`|`268939`|`284325`|`2018-07-25 10:18:33`
`은평구`|`11380`|`201801`|`486551`|`203009`|`2.4`|`236140`|`250411`|`2018-07-25 10:18:33`
`서대문구`|`11410`|`201801`|`312655`|`137416`|`2.28`|`151028`|`161627`|`2018-07-25 10:18:33`
`마포구`|`11440`|`201801`|`374778`|`169586`|`2.21`|`178870`|`195908`|`2018-07-25 10:18:33`
`양천구`|`11470`|`201801`|`470684`|`176650`|`2.66`|`232224`|`238460`|`2018-07-25 10:18:33`
`강서구`|`11500`|`201801`|`601753`|`254783`|`2.36`|`292964`|`308789`|`2018-07-25 10:18:33`
`구로구`|`11530`|`201801`|`409832`|`171468`|`2.39`|`203580`|`206252`|`2018-07-25 10:18:33`
`금천구`|`11545`|`201801`|`235050`|`106262`|`2.21`|`119449`|`115601`|`2018-07-25 10:18:33`
`영등포구`|`11560`|`201801`|`368910`|`167854`|`2.2`|`184145`|`184765`|`2018-07-25 10:18:33`
`동작구`|`11590`|`201801`|`395520`|`173019`|`2.29`|`192817`|`202703`|`2018-07-25 10:18:33`
`관악구`|`11620`|`201801`|`503657`|`256311`|`1.97`|`253711`|`249946`|`2018-07-25 10:18:33`
`서초구`|`11650`|`201801`|`441088`|`173802`|`2.54`|`211271`|`229817`|`2018-07-25 10:18:33`
`강남구`|`11680`|`201801`|`555622`|`231521`|`2.4`|`266129`|`289493`|`2018-07-25 10:18:33`
`송파구`|`11710`|`201801`|`665068`|`265311`|`2.51`|`323320`|`341748`|`2018-07-25 10:18:33`
`강동구`|`11740`|`201801`|`435340`|`177338`|`2.45`|`216308`|`219032`|`2018-07-25 10:18:33`
`종로구`|`11110`|`201802`|`154509`|`73570`|`2.1`|`75746`|`78763`|`2018-07-25 10:18:33`
