동별(3),단독주택,아파트,ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
사직동,650,1591,1101053,사직동,11110530
삼청동,644,654,1101054,삼청동,11110540
부암동,1033,121,1101055,부암동,11110550
평창동,1553,1009,1101056,평창동,11110560
무악동,48,2703,1101057,무악동,11110570
교남동,237,2526,1101058,교남동,11110580
가회동,731,220,1101060,가회동,11110600
종로1·2·3·4가동,514,959,1101061,종로1·2·3·4가동,11110615
종로5·6가동,730,220,1101063,종로5·6가동,11110630
이화동,682,189,1101064,이화동,11110640
혜화동,1430,890,1101073,혜화동,11110650
창신1동,493,868,1101067,창신1동,11110670
창신2동,879,330,1101068,창신2동,11110680
창신3동,306,1735,1101069,창신3동,11110690
숭인1동,644,654,1101070,숭인1동,11110700
숭인2동,406,1633,1101071,숭인2동,11110710
청운효자동,1279,260,1101072,청운효자동,11110515
소공동,16,651,1102052,소공동,11140520
회현동,246,1342,1102054,회현동,11140540
명동,201,250,1102055,명동,11140550
필동,375,399,1102057,필동,11140570
장충동,391,197,1102058,장충동,11140580
광희동,450,1206,1102059,광희동,11140590
을지로동,101,257,1102060,을지로동,11140605
신당5동,607,2279,1102065,신당5동,11140650
황학동,612,2823,1102067,황학동,11140670
중림동,259,3455,1102068,중림동,11140680
신당동,968,973,1102069,신당동,11140615
다산동,865,472,1102070,다산동,11140625
약수동,168,5344,1102071,약수동,11140635
청구동,484,3844,1102072,청구동,11140645
동화동,224,2610,1102073,동화동,11140665
후암동,1470,618,1103051,후암동,11170510
용산2가동,1105,374,1103052,용산2가동,11170520
남영동,661,440,1103053,남영동,11170530
원효로2동,534,3216,1103057,원효로2동,11170570
효창동,271,1584,1103058,효창동,11170580
용문동,443,2282,1103059,용문동,11170590
이촌1동,431,9507,1103063,이촌1동,11170630
이촌2동,60,2783,1103064,이촌2동,11170640
이태원1동,815,712,1103065,이태원1동,11170650
이태원2동,1127,705,1103066,이태원2동,11170660
서빙고동,618,2608,1103069,서빙고동,11170690
보광동,2024,550,1103070,보광동,11170700
청파동,1837,74,1103071,청파동,11170555
원효로1동,563,3405,1103072,원효로1동,11170560
한강로동,905,5192,1103073,한강로동,11170625
한남동,1630,3626,1103074,한남동,11170685
왕십리2동,608,4243,1104052,왕십리2동,11200520
마장동,1206,4173,1104054,마장동,11200540
사근동,793,1288,1104055,사근동,11200550
행당1동,573,3680,1104056,행당1동,11200560
행당2동,133,8134,1104057,행당2동,11200570
응봉동,150,3868,1104058,응봉동,11200580
금호1가동,77,5058,1104059,금호1가동,11200590
금호4가동,397,4439,1104062,금호4가동,11200620
성수1가1동,629,3313,1104065,성수1가1동,11200650
성수1가2동,659,2345,1104066,성수1가2동,11200660
성수2가1동,1079,1913,1104067,성수2가1동,11200670
성수2가3동,290,1912,1104068,성수2가3동,11200690
송정동,898,793,1104069,송정동,11200720
용답동,1472,621,1104070,용답동,11200790
왕십리도선동,544,7302,1104071,왕십리도선동,11200535
금호2·3가동,893,5019,1104072,금호2·3가동,11200615
옥수동,124,9483,1104073,옥수동,11200645
화양동,1413,1360,1105053,화양동,11215710
군자동,1435,779,1105054,군자동,11215730
중곡1동,1094,148,1105055,중곡1동,11215740
중곡2동,1188,300,1105056,중곡2동,11215750
중곡3동,1179,462,1105057,중곡3동,11215760
중곡4동,1508,314,1105058,중곡4동,11215770
능동,786,21,1105059,능동,11215780
구의1동,1070,264,1105060,구의1동,11215850
구의2동,977,1355,1105061,구의2동,11215860
구의3동,424,5985,1105062,구의3동,11215870
광장동,214,9068,1105063,광장동,11215810
자양1동,1205,784,1105064,자양1동,11215820
자양2동,848,2802,1105065,자양2동,11215830
자양3동,402,7088,1105066,자양3동,11215840
자양4동,1589,1405,1105067,자양4동,11215847
회기동,744,1577,1106071,회기동,11230710
휘경1동,913,2546,1106072,휘경1동,11230720
휘경2동,994,4151,1106073,휘경2동,11230730
청량리동,1507,3691,1106080,청량리동,11230705
답십리1동,944,7743,1106091,답십리1동,11230600
답십리2동,991,8184,1106086,답십리2동,11230610
용신동,1942,4446,1106081,용신동,11230536
제기동,2262,3113,1106082,제기동,11230545
전농1동,2138,4044,1106083,전농1동,11230560
전농2동,489,5505,1106084,전농2동,11230570
장안1동,892,6878,1106087,장안1동,11230650
장안2동,849,6061,1106088,장안2동,11230660
이문1동,1501,2232,1106089,이문1동,11230740
이문2동,954,4862,1106090,이문2동,11230750
면목2동,1528,2444,1107052,면목2동,11260520
면목4동,1034,2867,1107054,면목4동,11260540
면목5동,621,2174,1107055,면목5동,11260550
면목7동,1264,3151,1107057,면목7동,11260570
상봉1동,622,5365,1107059,상봉1동,11260580
