행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시
1101053,2413451.0,12924.0,2504.0,3072.0,428.0,2577.0,9270.0,17462.0,43761.0,70054.0,62440.0,63391.0,85307.0,100421.0,117238.0,140460.0,170002.0,209607.0,261409.0,372067.0,177290.0,154949.0,170503.0,119318.0,46997.0
1101054,133412.0,399.0,81.0,23.0,8.0,74.0,374.0,1039.0,3049.0,4254.0,3741.0,3426.0,5153.0,7033.0,7920.0,9530.0,11808.0,14316.0,14885.0,14414.0,9873.0,8757.0,7089.0,4493.0,1673.0
1101055,275476.0,544.0,50.0,2.0,0.0,748.0,3222.0,5953.0,14430.0,18622.0,14647.0,14336.0,14608.0,16801.0,17720.0,19921.0,22408.0,25157.0,25266.0,19669.0,13307.0,10153.0,8363.0,6609.0,2940.0
1101056,251130.0,668.0,46.0,0.0,0.0,809.0,3036.0,6715.0,17399.0,18217.0,15394.0,14053.0,14674.0,16071.0,16139.0,17218.0,18647.0,20097.0,21176.0,16163.0,10243.0,7838.0,7851.0,6254.0,2422.0
1101057,58337.0,1318.0,403.0,21.0,24.0,50.0,443.0,661.0,1770.0,2512.0,2391.0,2546.0,3301.0,3069.0,3056.0,3579.0,4635.0,4602.0,4704.0,4783.0,3917.0,3042.0,2900.0,3034.0,1576.0
1101058,290379.0,1890.0,648.0,201.0,255.0,462.0,2127.0,4724.0,12456.0,17310.0,13971.0,13987.0,15035.0,15044.0,15750.0,18067.0,22271.0,23648.0,24196.0,24220.0,16289.0,14695.0,14254.0,13086.0,5793.0
1101060,63124.0,0.0,0.0,0.0,0.0,0.0,21.0,1382.0,3356.0,4978.0,4852.0,3982.0,4091.0,3877.0,3971.0,4070.0,4570.0,5863.0,6352.0,5255.0,2404.0,1625.0,1342.0,875.0,258.0
1101061,5225673.0,38648.0,14650.0,6506.0,5223.0,7135.0,24448.0,31260.0,61744.0,112533.0,108647.0,123386.0,174665.0,228245.0,270034.0,330358.0,401025.0,459606.0,593545.0,682918.0,387798.0,345199.0,374859.0,298433.0,144808.0
1101063,1970453.0,5168.0,1432.0,824.0,580.0,2112.0,18465.0,16971.0,29200.0,46094.0,53301.0,65484.0,90039.0,116792.0,137959.0,164188.0,182604.0,201358.0,240725.0,206259.0,121540.0,92761.0,91045.0,59666.0,25886.0
1101064,1524884.0,6308.0,1063.0,388.0,243.0,1780.0,7681.0,14611.0,33748.0,46550.0,42737.0,47972.0,65218.0,69087.0,73460.0,88026.0,111186.0,130804.0,148856.0,151433.0,96824.0,96237.0,126834.0,117921.0,45917.0
1101067,299188.0,5497.0,3096.0,2170.0,1963.0,5304.0,7858.0,7234.0,9832.0,16385.0,15170.0,13254.0,14573.0,17068.0,17242.0,18638.0,20742.0,21894.0,21252.0,19981.0,15053.0,12083.0,12682.0,12089.0,8128.0
1101068,3698.0,6.0,0.0,0.0,0.0,0.0,4.0,166.0,211.0,263.0,212.0,229.0,224.0,217.0,228.0,192.0,258.0,242.0,313.0,295.0,222.0,194.0,105.0,77.0,40.0
1101069,136929.0,126.0,6.0,0.0,0.0,195.0,2679.0,6312.0,15301.0,18996.0,11509.0,8717.0,7947.0,8150.0,7459.0,6924.0,7381.0,8772.0,7843.0,6448.0,3963.0,3238.0,2354.0,1709.0,900.0
1101070,188918.0,2605.0,1226.0,675.0,406.0,553.0,1439.0,2234.0,4875.0,8520.0,7446.0,7407.0,8486.0,10892.0,12188.0,13298.0,14518.0,15795.0,16904.0,15535.0,12029.0,9463.0,8679.0,8408.0,5337.0
1101071,685659.0,1879.0,887.0,580.0,669.0,2891.0,11265.0,12559.0,22908.0,36089.0,30408.0,28907.0,36120.0,47596.0,55255.0,63852.0,69085.0,73755.0,65532.0,48548.0,24840.0,17923.0,15508.0,12380.0,6223.0
1101072,211921.0,126.0,10.0,2.0,0.0,274.0,1324.0,4203.0,9429.0,13026.0,10534.0,10069.0,11342.0,12644.0,13869.0,17859.0,19335.0,22278.0,21525.0,16921.0,9130.0,6779.0,6124.0,3770.0,1348.0
1101073,503166.0,6225.0,1497.0,611.0,256.0,2201.0,5522.0,10263.0,20435.0,30173.0,24513.0,20789.0,23001.0,25123.0,27348.0,28670.0,31744.0,33879.0,36690.0,33396.0,28166.0,27345.0,33084.0,33575.0,18660.0
1102052,2371481.0,12226.0,3145.0,1730.0,804.0,1882.0,9446.0,12465.0,27248.0,42861.0,45430.0,55969.0,81600.0,89989.0,107033.0,130752.0,162782.0,184617.0,264382.0,422308.0,202093.0,180467.0,166782.0,118530.0,46940.0
1102054,4016321.0,17278.0,3870.0,1257.0,875.0,3254.0,25926.0,34020.0,91050.0,161544.0,138111.0,147804.0,192385.0,225522.0,236607.0,231852.0,288930.0,341333.0,436332.0,512652.0,283436.0,226835.0,199578.0,145612.0,70258.0
1102055,2982197.0,16008.0,3123.0,1279.0,764.0,893.0,6710.0,14960.0,36882.0,58676.0,69645.0,82544.0,107463.0,117444.0,135788.0,156522.0,187321.0,212090.0,299111.0,474449.0,271664.0,264991.0,224968.0,171421.0,67481.0
1102057,877024.0,4470.0,626.0,367.0,277.0,575.0,4524.0,6446.0,13314.0,22063.0,22670.0,24497.0,31317.0,36405.0,41803.0,48510.0,56515.0,68955.0,98862.0,139638.0,72047.0,55267.0,56348.0,46427.0,25101.0
1102058,401309.0,949.0,145.0,54.0,43.0,65.0,2333.0,4433.0,7874.0,12915.0,11081.0,12186.0,15500.0,16355.0,19223.0,27024.0,27239.0,35240.0,41268.0,54956.0,26611.0,22157.0,33557.0,21427.0,8674.0
1102059,1393412.0,13243.0,5272.0,3511.0,2812.0,4443.0,16639.0,13570.0,24084.0,41670.0,39750.0,45812.0,56892.0,66700.0,71839.0,86171.0,101738.0,123305.0,148816.0,168869.0,102178.0,80743.0,83194.0,59805.0,32356.0
1102060,1660103.0,9515.0,1090.0,419.0,249.0,353.0,3809.0,6896.0,14743.0,28619.0,35847.0,48919.0,63962.0,71478.0,80309.0,94525.0,106251.0,127841.0,217963.0,295415.0,128424.0,94967.0,99493.0,83095.0,45921.0
1102065,175298.0,1076.0,338.0,228.0,171.0,326.0,1811.0,3040.0,5248.0,8996.0,7094.0,6929.0,7483.0,9283.0,9677.0,10464.0,11571.0,12935.0,14217.0,15789.0,12767.0,10057.0,9930.0,9718.0,6150.0
1102067,108931.0,506.0,250.0,105.0,72.0,715.0,1997.0,3078.0,5401.0,8815.0,7764.0,6294.0,6101.0,6755.0,6914.0,7178.0,7166.0,7522.0,7140.0,6599.0,5473.0,4279.0,4044.0,3111.0,1652.0
