"동별","연령별","항목","단위","2023. 1/4",
"사직동","계","계","","9371",
"사직동","계","한국인","","9106",
"사직동","계","외국인","","265",
"사직동","0~4세","계","","182",
"사직동","0~4세","한국인","","177",
"사직동","0~4세","외국인","","5",
"사직동","5~9세","계","","323",
"사직동","5~9세","한국인","","319",
"사직동","5~9세","외국인","","4",
"사직동","10~14세","계","","331",
"사직동","10~14세","한국인","","324",
"사직동","10~14세","외국인","","7",
"사직동","15~19세","계","","342",
"사직동","15~19세","한국인","","338",
"사직동","15~19세","외국인","","4",
"사직동","20~24세","계","","425",
"사직동","20~24세","한국인","","418",
"사직동","20~24세","외국인","","7",
"사직동","25~29세","계","","682",
"사직동","25~29세","한국인","","662",
"사직동","25~29세","외국인","","20",
"사직동","30~34세","계","","789",
"사직동","30~34세","한국인","","768",
"사직동","30~34세","외국인","","21",
"사직동","35~39세","계","","713",
"사직동","35~39세","한국인","","679",
"사직동","35~39세","외국인","","34",
"사직동","40~44세","계","","727",
"사직동","40~44세","한국인","","689",
"사직동","40~44세","외국인","","38",
"사직동","45~49세","계","","757",
"사직동","45~49세","한국인","","719",
"사직동","45~49세","외국인","","38",
"사직동","50~54세","계","","838",
"사직동","50~54세","한국인","","817",
"사직동","50~54세","외국인","","21",
"사직동","55~59세","계","","699",
"사직동","55~59세","한국인","","680",
"사직동","55~59세","외국인","","19",
"사직동","60~64세","계","","731",
"사직동","60~64세","한국인","","708",
"사직동","60~64세","외국인","","23",
"사직동","65~69세","계","","537",
"사직동","65~69세","한국인","","522",
"사직동","65~69세","외국인","","15",
"사직동","70~74세","계","","367",
"사직동","70~74세","한국인","","363",
"사직동","70~74세","외국인","","4",
"사직동","75~79세","계","","332",
"사직동","75~79세","한국인","","331",
"사직동","75~79세","외국인","","1",
"사직동","80~84세","계","","318",
"사직동","80~84세","한국인","","316",
"사직동","80~84세","외국인","","2",
"사직동","85~89세","계","","185",
"사직동","85~89세","한국인","","184",
"사직동","85~89세","외국인","","1",
"사직동","90~94세","계","","69",
"사직동","90~94세","한국인","","68",
"사직동","90~94세","외국인","","1",
"사직동","95~99세","계","","21",
"사직동","95~99세","한국인","","21",
"사직동","95~99세","외국인","","0",
"사직동","100세 이상","계","","3",
"사직동","100세 이상","한국인","","3",
"사직동","100세 이상","외국인","","0",
"삼청동","계","계","","2616",
"삼청동","계","한국인","","2313",
"삼청동","계","외국인","","303",
"삼청동","0~4세","계","","29",
"삼청동","0~4세","한국인","","23",
"삼청동","0~4세","외국인","","6",
"삼청동","5~9세","계","","82",
"삼청동","5~9세","한국인","","62",
"삼청동","5~9세","외국인","","20",
"삼청동","10~14세","계","","116",
"삼청동","10~14세","한국인","","84",
"삼청동","10~14세","외국인","","32",
"삼청동","15~19세","계","","103",
"삼청동","15~19세","한국인","","85",
"삼청동","15~19세","외국인","","18",
"삼청동","20~24세","계","","120",
"삼청동","20~24세","한국인","","112",
"삼청동","20~24세","외국인","","8",
"삼청동","25~29세","계","","169",
"삼청동","25~29세","한국인","","160",
"삼청동","25~29세","외국인","","9",
"삼청동","30~34세","계","","177",
"삼청동","30~34세","한국인","","165",
"삼청동","30~34세","외국인","","12",
"삼청동","35~39세","계","","155",
"삼청동","35~39세","한국인","","128",
"삼청동","35~39세","외국인","","27",
"삼청동","40~44세","계","","224",
"삼청동","40~44세","한국인","","174",
"삼청동","40~44세","외국인","","50",
"삼청동","45~49세","계","","194",
"삼청동","45~49세","한국인","","151",
"삼청동","45~49세","외국인","","43",
"삼청동","50~54세","계","","194",
"삼청동","50~54세","한국인","","183",
"삼청동","50~54세","외국인","","11",
"삼청동","55~59세","계","","190",
"삼청동","55~59세","한국인","","176",
"삼청동","55~59세","외국인","","14",
"삼청동","60~64세","계","","231",
"삼청동","60~64세","한국인","","216",
"삼청동","60~64세","외국인","","15",
"삼청동","65~69세","계","","197",
"삼청동","65~69세","한국인","","176",
"삼청동","65~69세","외국인","","21",
"삼청동","70~74세","계","","141",
"삼청동","70~74세","한국인","","129",
"삼청동","70~74세","외국인","","12",
"삼청동","75~79세","계","","112",
"삼청동","75~79세","한국인","","109",
"삼청동","75~79세","외국인","","3",
"삼청동","80~84세","계","","93",
"삼청동","80~84세","한국인","","93",
"삼청동","80~84세","외국인","","0",
"삼청동","85~89세","계","","61",
"삼청동","85~89세","한국인","","59",
"삼청동","85~89세","외국인","","2",
"삼청동","90~94세","계","","22",
"삼청동","90~94세","한국인","","22",
"삼청동","90~94세","외국인","","0",
"삼청동","95~99세","계","","4",
"삼청동","95~99세","한국인","","4",
"삼청동","95~99세","외국인","","0",
"삼청동","100세 이상","계","","2",
"삼청동","100세 이상","한국인","","2",
"삼청동","100세 이상","외국인","","0",
"부암동","계","계","","9460",
"부암동","계","한국인","","9148",
"부암동","계","외국인","","312",
"부암동","0~4세","계","","126",
"부암동","0~4세","한국인","","126",
"부암동","0~4세","외국인","","0",
"부암동","5~9세","계","","282",
"부암동","5~9세","한국인","","282",
"부암동","5~9세","외국인","","0",
"부암동","10~14세","계","","390",
"부암동","10~14세","한국인","","390",
"부암동","10~14세","외국인","","0",
"부암동","15~19세","계","","470",
"부암동","15~19세","한국인","","468",
"부암동","15~19세","외국인","","2",
"부암동","20~24세","계","","581",
"부암동","20~24세","한국인","","521",
"부암동","20~24세","외국인","","60",
"부암동","25~29세","계","","686",
"부암동","25~29세","한국인","","614",
"부암동","25~29세","외국인","","72",
"부암동","30~34세","계","","644",
"부암동","30~34세","한국인","","577",
"부암동","30~34세","외국인","","67",
"부암동","35~39세","계","","608",
"부암동","35~39세","한국인","","563",
"부암동","35~39세","외국인","","45",
"부암동","40~44세","계","","702",
"부암동","40~44세","한국인","","671",
"부암동","40~44세","외국인","","31",
"부암동","45~49세","계","","744",
"부암동","45~49세","한국인","","735",
"부암동","45~49세","외국인","","9",
"부암동","50~54세","계","","878",
"부암동","50~54세","한국인","","870",
"부암동","50~54세","외국인","","8",
"부암동","55~59세","계","","781",
"부암동","55~59세","한국인","","773",
"부암동","55~59세","외국인","","8",
"부암동","60~64세","계","","738",
"부암동","60~64세","한국인","","734",
"부암동","60~64세","외국인","","4",
"부암동","65~69세","계","","598",
"부암동","65~69세","한국인","","594",
"부암동","65~69세","외국인","","4",
"부암동","70~74세","계","","380",
