"""동별""","""연령별""","""항목""","""2023. 1/4""",ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
사직동,계,계,9371,1101053,사직동,11110530
사직동,계,한국인,9106,1101053,사직동,11110530
사직동,계,외국인,265,1101053,사직동,11110530
사직동,0~4세,계,182,1101053,사직동,11110530
사직동,0~4세,한국인,177,1101053,사직동,11110530
사직동,0~4세,외국인,5,1101053,사직동,11110530
사직동,5~9세,계,323,1101053,사직동,11110530
사직동,5~9세,한국인,319,1101053,사직동,11110530
사직동,5~9세,외국인,4,1101053,사직동,11110530
사직동,10~14세,계,331,1101053,사직동,11110530
사직동,10~14세,한국인,324,1101053,사직동,11110530
사직동,10~14세,외국인,7,1101053,사직동,11110530
사직동,15~19세,계,342,1101053,사직동,11110530
사직동,15~19세,한국인,338,1101053,사직동,11110530
사직동,15~19세,외국인,4,1101053,사직동,11110530
사직동,20~24세,계,425,1101053,사직동,11110530
사직동,20~24세,한국인,418,1101053,사직동,11110530
사직동,20~24세,외국인,7,1101053,사직동,11110530
사직동,25~29세,계,682,1101053,사직동,11110530
사직동,25~29세,한국인,662,1101053,사직동,11110530
사직동,25~29세,외국인,20,1101053,사직동,11110530
사직동,30~34세,계,789,1101053,사직동,11110530
사직동,30~34세,한국인,768,1101053,사직동,11110530
사직동,30~34세,외국인,21,1101053,사직동,11110530
사직동,35~39세,계,713,1101053,사직동,11110530
사직동,35~39세,한국인,679,1101053,사직동,11110530
사직동,35~39세,외국인,34,1101053,사직동,11110530
사직동,40~44세,계,727,1101053,사직동,11110530
사직동,40~44세,한국인,689,1101053,사직동,11110530
사직동,40~44세,외국인,38,1101053,사직동,11110530
사직동,45~49세,계,757,1101053,사직동,11110530
사직동,45~49세,한국인,719,1101053,사직동,11110530
사직동,45~49세,외국인,38,1101053,사직동,11110530
사직동,50~54세,계,838,1101053,사직동,11110530
사직동,50~54세,한국인,817,1101053,사직동,11110530
사직동,50~54세,외국인,21,1101053,사직동,11110530
