정류소명,좌표X,좌표Y,행정동명,시군구명,ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
종로2가사거리,126.9877861534,37.5697641508,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
창경궁.서울대학교병원,126.9965201597,37.5791788583,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로2가.삼일교,126.9875072018,37.5685822333,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
광화문,126.9780908549,37.5702957096,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로1가,126.9810669062,37.5700724512,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로1가,126.9813905902,37.5702666069,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로2가,126.985541114,37.570087252,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로2가,126.9862540445,37.5702679499,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로3가.탑골공원,126.9895689652,37.5701875394,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로3가.탑골공원,126.9899682503,37.5703886931,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로4가.종묘,126.9947286676,37.5704168801,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로4가.종묘,126.9952769536,37.5706002885,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로5가.광장시장,126.9988533013,37.5707157083,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
종로5가.광장시장,126.9993198827,37.5709076392,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
경복궁,126.9787204661,37.5756938103,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
KT광화문지사,126.9772022826,37.5724045047,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
서린동.SK서린빌딩,126.9802557033,37.5691427552,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
청계1가.광교,126.9849078726,37.5686078815,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
청계2가.수표교,126.99156451,37.5684255774,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
청계4가.세운교,126.9964924987,37.5688576315,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
청계5가.광장시장,126.9998214525,37.5693781242,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
원남동,126.9973383362,37.5745325055,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
창덕궁.우리소리박물관,126.9886344578,37.5772989287,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
안국역.인사동,126.9841842323,37.5758656523,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
조계사.종로경찰서,126.9830699963,37.5723608203,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
조계사.종로경찰서,126.9828944772,37.5724880557,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
안국동,126.982783677,37.5746126493,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
창덕궁.돈화문국악당,126.991061212,37.5774776278,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
청계2가교차로,126.9878778705,37.5684809008,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
광장시장,126.9978384311,37.5695021129,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
혜화경찰서,126.9975710333,37.5725842353,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
청계3가.관수교,126.9937893395,37.5686091615,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
원남동사거리,126.9982123686,37.5757861716,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
조계사,126.9830466419,37.5727970374,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
청계2가.삼일교,126.9872038194,37.5682710519,종로1·2·3·4가동,종로구,1101061,종로1·2·3·4가동,11110615
