AD_CD,대표자_남자,대표자_여자,사업체_총합,대표자_20대이하,대표자_30대,대표자_40대,대표자_50대,대표자_60대,대표자_70대이상,조직형태_개인사업체,조직형태_회사법인,조직형태_회사이외법인,조직형태_비법인단체,조직형태_국가지자체
1101053,2459,1092,3551,44,388,974,1280,603,262,1772,1448,202,98,31
1101054,384,354,738,8,128,207,235,117,43,513,170,33,12,10
1101055,316,224,540,15,61,147,182,108,27,403,72,20,40,5
1101056,367,298,665,15,75,142,232,135,66,486,83,35,56,5
1101057,460,121,581,8,47,115,210,156,45,529,18,7,25,2
1101058,217,103,320,1,31,52,140,63,33,226,45,30,17,2
1101060,387,368,755,11,129,199,228,137,51,544,132,46,28,5
1101061,10991,5081,16072,214,1630,4134,5823,3097,1174,12727,2696,367,243,39
1101063,5190,2536,7726,120,1052,2207,2560,1299,488,6828,663,114,113,8
1101064,909,429,1338,31,195,372,437,215,88,848,289,103,88,10
1101067,1572,716,2288,51,327,561,794,420,135,2087,144,21,32,4
1101068,561,283,844,10,48,255,337,157,37,788,20,11,23,2
1101069,184,77,261,7,27,56,100,53,18,226,10,7,14,4
1101070,353,169,522,5,52,155,185,95,30,461,35,8,15,3
1101071,1360,513,1873,44,210,498,605,378,138,1588,231,25,24,5
1101072,576,431,1007,26,171,245,309,163,93,755,137,54,38,23
1101073,1113,677,1790,59,321,538,524,261,87,1412,247,77,40,14
1102052,2962,1246,4208,46,486,1107,1370,795,404,2257,1720,165,52,14
1102054,4952,5264,10216,182,1379,2804,3460,1844,547,9117,905,74,109,11
1102055,4876,2005,6881,97,737,1801,2467,1303,476,3858,2622,244,133,24
1102057,2493,833,3326,75,330,1071,1245,458,147,2315,825,133,43,10
1102058,654,254,908,11,79,252,328,164,74,544,274,50,32,8
1102059,6261,3198,9459,227,1239,2518,3365,1656,454,8316,1026,72,37,8
1102060,7886,2142,10028,111,705,2497,4068,1992,655,8868,1018,88,49,5
1102065,870,476,1346,42,183,368,483,197,73,1197,105,15,25,4
1102067,1394,644,2038,53,203,450,814,408,110,1876,136,10,14,2
1102068,728,330,1058,12,122,291,355,201,77,746,225,46,36,5
1102069,6163,6478,12641,460,3734,3849,3115,1210,273,12134,419,35,41,12
1102070,979,451,1430,24,221,423,487,199,76,1069,277,32,48,4
1102071,541,365,906,9,109,288,274,171,55,725,128,24,22,7
1102072,545,268,813,17,119,263,254,122,38,670,106,17,18,2
1102073,637,295,932,21,152,316,289,122,32,797,101,13,17,4
1103051,538,320,858,29,106,224,285,145,69,742,63,21,22,10
1103052,415,199,614,22,133,123,168,129,39,531,52,16,9,6
1103053,1087,619,1706,40,235,448,531,317,135,1115,456,78,52,5
1103057,841,286,1127,15,168,355,344,198,47,744,341,19,20,3
1103058,335,144,479,4,44,131,167,95,38,327,92,32,25,3
1103059,385,271,656,13,75,171,222,131,44,582,56,6,11,1
1103063,438,398,836,12,111,210,249,178,76,678,78,23,48,9
1103064,257,93,350,5,36,54,119,104,32,305,22,4,17,2
1103065,956,760,1716,79,356,509,474,235,63,1425,258,14,11,8
1103066,501,287,788,41,220,185,194,103,45,636,126,7,15,4
1103069,286,127,413,3,58,105,127,90,30,293,83,17,11,9
1103070,484,319,803,26,105,177,278,158,59,753,27,9,11,3
1103071,1224,666,1890,50,266,516,633,307,118,1600,181,55,46,8
1103072,1373,544,1917,39,363,595,569,253,98,1284,569,22,35,7
1103073,3703,1240,4943,88,862,1646,1430,669,248,3096,1627,123,72,25
1103074,1325,757,2082,53,440,629,554,275,131,1353,628,47,48,6
1104052,482,278,760,17,71,201,285,144,42,667,54,8,28,3
1104054,2440,808,3248,46,379,838,1094,686,205,2523,627,32,50,16
1104055,715,377,1092,38,187,264,337,211,55,854,132,69,27,10
1104056,846,553,1399,34,256,379,456,213,61,1090,228,32,36,13
1104057,313,252,565,9,91,182,174,85,24,502,28,6,24,5
1104058,251,127,378,6,48,87,136,76,25,341,9,2,18,8
1104059,349,192,541,4,73,128,188,117,31,470,31,6,29,5
