`행정동코드`,`구분`,`평균소득(만원)`,`소득금액구간`,`금액구간별인원수비중(%)`,`정보미제공구간해당여부(Y제공불가)`,ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
11110515,전체,4344,2천만원미만,6,N,1101072,청운효자동,11110515
11110515,전체,4344,3천만원미만,18,N,1101072,청운효자동,11110515
11110515,전체,4344,4천만원미만,24,N,1101072,청운효자동,11110515
11110515,전체,4344,5천만원미만,23,N,1101072,청운효자동,11110515
11110515,전체,4344,5천만원이상,29,N,1101072,청운효자동,11110515
11110515,남성,4819,2천만원미만,4,N,1101072,청운효자동,11110515
11110515,남성,4819,3천만원미만,16,N,1101072,청운효자동,11110515
11110515,남성,4819,4천만원미만,18,N,1101072,청운효자동,11110515
11110515,남성,4819,5천만원미만,22,N,1101072,청운효자동,11110515
11110515,남성,4819,5천만원이상,40,N,1101072,청운효자동,11110515
11110515,여성,3833,2천만원미만,9,N,1101072,청운효자동,11110515
11110515,여성,3833,3천만원미만,20,N,1101072,청운효자동,11110515
11110515,여성,3833,4천만원미만,31,N,1101072,청운효자동,11110515
11110515,여성,3833,5천만원미만,23,N,1101072,청운효자동,11110515
11110515,여성,3833,5천만원이상,17,N,1101072,청운효자동,11110515
11110515,20대,2605,2천만원미만,28,N,1101072,청운효자동,11110515
11110515,20대,2605,3천만원미만,43,N,1101072,청운효자동,11110515
11110515,20대,2605,4천만원미만,20,N,1101072,청운효자동,11110515
11110515,20대,2605,5천만원미만,7,N,1101072,청운효자동,11110515
11110515,20대,2605,5천만원이상,2,N,1101072,청운효자동,11110515
11110515,30대,3635,2천만원미만,5,N,1101072,청운효자동,11110515
11110515,30대,3635,3천만원미만,24,N,1101072,청운효자동,11110515
11110515,30대,3635,4천만원미만,38,N,1101072,청운효자동,11110515
11110515,30대,3635,5천만원미만,20,N,1101072,청운효자동,11110515
11110515,30대,3635,5천만원이상,12,N,1101072,청운효자동,11110515
11110515,40대,4805,2천만원미만,4,N,1101072,청운효자동,11110515
11110515,40대,4805,3천만원미만,8,N,1101072,청운효자동,11110515
11110515,40대,4805,4천만원미만,21,N,1101072,청운효자동,11110515
11110515,40대,4805,5천만원미만,30,N,1101072,청운효자동,11110515
11110515,40대,4805,5천만원이상,38,N,1101072,청운효자동,11110515
11110515,50대,5311,2천만원미만,2,N,1101072,청운효자동,11110515
11110515,50대,5311,3천만원미만,7,N,1101072,청운효자동,11110515
11110515,50대,5311,4천만원미만,19,N,1101072,청운효자동,11110515
11110515,50대,5311,5천만원미만,22,N,1101072,청운효자동,11110515
11110515,50대,5311,5천만원이상,49,N,1101072,청운효자동,11110515
11110515,60세이상,3857,2천만원미만,10,N,1101072,청운효자동,11110515
11110515,60세이상,3857,3천만원미만,32,N,1101072,청운효자동,11110515
11110515,60세이상,3857,4천만원미만,18,N,1101072,청운효자동,11110515
11110515,60세이상,3857,5천만원미만,19,N,1101072,청운효자동,11110515
11110515,60세이상,3857,5천만원이상,21,N,1101072,청운효자동,11110515
11110530,전체,4728,2천만원미만,5,N,1101053,사직동,11110530
11110530,전체,4728,3천만원미만,16,N,1101053,사직동,11110530
11110530,전체,4728,4천만원미만,21,N,1101053,사직동,11110530
11110530,전체,4728,5천만원미만,21,N,1101053,사직동,11110530
11110530,전체,4728,5천만원이상,37,N,1101053,사직동,11110530
11110530,남성,5330,2천만원미만,3,N,1101053,사직동,11110530
11110530,남성,5330,3천만원미만,13,N,1101053,사직동,11110530
11110530,남성,5330,4천만원미만,15,N,1101053,사직동,11110530
11110530,남성,5330,5천만원미만,19,N,1101053,사직동,11110530
11110530,남성,5330,5천만원이상,50,N,1101053,사직동,11110530
11110530,여성,4075,2천만원미만,8,N,1101053,사직동,11110530
11110530,여성,4075,3천만원미만,19,N,1101053,사직동,11110530
11110530,여성,4075,4천만원미만,28,N,1101053,사직동,11110530
11110530,여성,4075,5천만원미만,23,N,1101053,사직동,11110530
11110530,여성,4075,5천만원이상,22,N,1101053,사직동,11110530
11110530,20대,2901,2천만원미만,18,N,1101053,사직동,11110530
11110530,20대,2901,3천만원미만,42,N,1101053,사직동,11110530
11110530,20대,2901,4천만원미만,24,N,1101053,사직동,11110530
11110530,20대,2901,5천만원미만,11,N,1101053,사직동,11110530
11110530,20대,2901,5천만원이상,4,N,1101053,사직동,11110530
11110530,30대,4059,2천만원미만,5,N,1101053,사직동,11110530
11110530,30대,4059,3천만원미만,17,N,1101053,사직동,11110530
11110530,30대,4059,4천만원미만,32,N,1101053,사직동,11110530
11110530,30대,4059,5천만원미만,22,N,1101053,사직동,11110530
11110530,30대,4059,5천만원이상,23,N,1101053,사직동,11110530
11110530,40대,5329,2천만원미만,2,N,1101053,사직동,11110530
11110530,40대,5329,3천만원미만,7,N,1101053,사직동,11110530
11110530,40대,5329,4천만원미만,16,N,1101053,사직동,11110530
11110530,40대,5329,5천만원미만,26,N,1101053,사직동,11110530
11110530,40대,5329,5천만원이상,49,N,1101053,사직동,11110530
11110530,50대,5827,2천만원미만,3,N,1101053,사직동,11110530
11110530,50대,5827,3천만원미만,5,N,1101053,사직동,11110530
11110530,50대,5827,4천만원미만,13,N,1101053,사직동,11110530
11110530,50대,5827,5천만원미만,21,N,1101053,사직동,11110530
11110530,50대,5827,5천만원이상,57,N,1101053,사직동,11110530
11110530,60세이상,4468,2천만원미만,8,N,1101053,사직동,11110530
11110530,60세이상,4468,3천만원미만,28,N,1101053,사직동,11110530
11110530,60세이상,4468,4천만원미만,16,N,1101053,사직동,11110530
11110530,60세이상,4468,5천만원미만,15,N,1101053,사직동,11110530
11110530,60세이상,4468,5천만원이상,33,N,1101053,사직동,11110530
11110540,전체,4166,2천만원미만,7,N,1101054,삼청동,11110540
11110540,전체,4166,3천만원미만,20,N,1101054,삼청동,11110540
11110540,전체,4166,4천만원미만,24,N,1101054,삼청동,11110540
11110540,전체,4166,5천만원미만,24,N,1101054,삼청동,11110540
11110540,전체,4166,5천만원이상,26,N,1101054,삼청동,11110540
11110540,남성,4470,2천만원미만,5,N,1101054,삼청동,11110540
11110540,남성,4470,3천만원미만,19,N,1101054,삼청동,11110540
11110540,남성,4470,4천만원미만,19,N,1101054,삼청동,11110540
11110540,남성,4470,5천만원미만,23,N,1101054,삼청동,11110540
11110540,남성,4470,5천만원이상,34,N,1101054,삼청동,11110540
11110540,여성,3802,2천만원미만,10,N,1101054,삼청동,11110540
11110540,여성,3802,3천만원미만,21,N,1101054,삼청동,11110540
11110540,여성,3802,4천만원미만,29,N,1101054,삼청동,11110540
11110540,여성,3802,5천만원미만,24,N,1101054,삼청동,11110540
11110540,여성,3802,5천만원이상,16,N,1101054,삼청동,11110540
11110540,20대,2606,2천만원미만,26,N,1101054,삼청동,11110540
11110540,20대,2606,3천만원미만,51,N,1101054,삼청동,11110540
11110540,20대,2606,4천만원미만,11,N,1101054,삼청동,11110540
11110540,20대,2606,5천만원미만,11,N,1101054,삼청동,11110540
11110540,20대,2606,5천만원이상,1,N,1101054,삼청동,11110540
11110540,30대,3652,2천만원미만,6,N,1101054,삼청동,11110540
11110540,30대,3652,3천만원미만,22,N,1101054,삼청동,11110540
11110540,30대,3652,4천만원미만,35,N,1101054,삼청동,11110540
11110540,30대,3652,5천만원미만,25,N,1101054,삼청동,11110540
11110540,30대,3652,5천만원이상,12,N,1101054,삼청동,11110540
11110540,40대,4623,2천만원미만,4,N,1101054,삼청동,11110540
11110540,40대,4623,3천만원미만,11,N,1101054,삼청동,11110540
11110540,40대,4623,4천만원미만,24,N,1101054,삼청동,11110540
11110540,40대,4623,5천만원미만,28,N,1101054,삼청동,11110540
11110540,40대,4623,5천만원이상,34,N,1101054,삼청동,11110540
11110540,50대,4869,2천만원미만,4,N,1101054,삼청동,11110540
11110540,50대,4869,3천만원미만,8,N,1101054,삼청동,11110540
11110540,50대,4869,4천만원미만,22,N,1101054,삼청동,11110540
11110540,50대,4869,5천만원미만,26,N,1101054,삼청동,11110540
11110540,50대,4869,5천만원이상,41,N,1101054,삼청동,11110540
11110540,60세이상,3994,2천만원미만,10,N,1101054,삼청동,11110540
11110540,60세이상,3994,3천만원미만,29,N,1101054,삼청동,11110540
