ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
1101053,사직동,11110530
1101054,삼청동,11110540
1101055,부암동,11110550
1101056,평창동,11110560
1101057,무악동,11110570
1101058,교남동,11110580
1101060,가회동,11110600
1101061,종로1·2·3·4가동,11110615
1101063,종로5·6가동,11110630
1101064,이화동,11110640
1101067,창신1동,11110670
1101068,창신2동,11110680
1101069,창신3동,11110690
1101070,숭인1동,11110700
1101071,숭인2동,11110710
1101072,청운효자동,11110515
1101073,혜화동,11110650
1102052,소공동,11140520
1102054,회현동,11140540
1102055,명동,11140550
1102057,필동,11140570
1102058,장충동,11140580
1102059,광희동,11140590
1102060,을지로동,11140605
1102065,신당5동,11140650
1102067,황학동,11140670
1102068,중림동,11140680
1102069,신당동,11140615
1102070,다산동,11140625
1102071,약수동,11140635
1102072,청구동,11140645
1102073,동화동,11140665
1103051,후암동,11170510
1103052,용산2가동,11170520
1103053,남영동,11170530
1103057,원효로2동,11170570
1103058,효창동,11170580
1103059,용문동,11170590
1103063,이촌1동,11170630
1103064,이촌2동,11170640
1103065,이태원1동,11170650
1103066,이태원2동,11170660
1103069,서빙고동,11170690
1103070,보광동,11170700
1103071,청파동,11170555
1103072,원효로1동,11170560
1103073,한강로동,11170625
1103074,한남동,11170685
1104052,왕십리2동,11200520
1104054,마장동,11200540
1104055,사근동,11200550
1104056,행당1동,11200560
1104057,행당2동,11200570
1104058,응봉동,11200580
1104059,금호1가동,11200590
1104062,금호4가동,11200620
1104065,성수1가1동,11200650
1104066,성수1가2동,11200660
1104067,성수2가1동,11200670
1104068,성수2가3동,11200690
1104069,송정동,11200720
1104070,용답동,11200790
1104071,왕십리도선동,11200535
1104072,금호2·3가동,11200615
1104073,옥수동,11200645
1105053,화양동,11215710
1105054,군자동,11215730
1105055,중곡1동,11215740
1105056,중곡2동,11215750
1105057,중곡3동,11215760
1105058,중곡4동,11215770
1105059,능동,11215780
1105060,구의1동,11215850
1105061,구의2동,11215860
1105062,구의3동,11215870
1105063,광장동,11215810
1105064,자양1동,11215820
1105065,자양2동,11215830
1105066,자양3동,11215840
1105067,자양4동,11215847
1106071,회기동,11230710
1106072,휘경1동,11230720
1106073,휘경2동,11230730
1106080,청량리동,11230705
1106081,용신동,11230536
1106082,제기동,11230545
1106083,전농1동,11230560
1106084,전농2동,11230570
1106086,답십리2동,11230610
1106087,장안1동,11230650
1106088,장안2동,11230660
1106089,이문1동,11230740
1106090,이문2동,11230750
1106091,답십리1동,11230600
1107052,면목2동,11260520
1107054,면목4동,11260540
1107055,면목5동,11260550
1107057,면목7동,11260570
1107059,상봉1동,11260580
1107060,상봉2동,11260590
1107061,중화1동,11260600
1107062,중화2동,11260610
1107064,묵1동,11260620
1107065,묵2동,11260630
1107068,망우3동,11260660
1107069,신내1동,11260680
1107070,신내2동,11260690
1107071,면목본동,11260565
1107072,면목3·8동,11260575
1107073,망우본동,11260655
1108058,돈암1동,11290580
1108059,돈암2동,11290590
1108060,안암동,11290600
1108061,보문동,11290610
1108062,정릉1동,11290620
1108063,정릉2동,11290630
1108064,정릉3동,11290640
1108065,정릉4동,11290650
1108066,길음1동,11290660
1108068,길음2동,11290685
1108071,월곡1동,11290715
1108072,월곡2동,11290725
1108076,장위1동,11290760
1108077,장위2동,11290770
1108078,장위3동,11290780
1108081,성북동,11290525
1108082,삼선동,11290555
1108083,동선동,11290575
1108084,종암동,11290705
1108085,석관동,11290810
1109060,번1동,11305590
1109061,번2동,11305600
1109062,번3동,11305606
1109063,수유1동,11305610
1109064,수유2동,11305620
1109065,수유3동,11305630
1109069,삼양동,11305534
1109070,미아동,11305535
1109071,송중동,11305545
1109072,송천동,11305555
1109073,삼각산동,11305575
1109074,우이동,11305645
1109075,인수동,11305660
1110051,쌍문1동,11320660
1110052,쌍문2동,11320670
1110053,쌍문3동,11320680
1110054,쌍문4동,11320681
1110055,방학1동,11320690
1110056,방학2동,11320700
1110057,방학3동,11320710
1110059,창1동,11320511
1110060,창2동,11320512
1110061,창3동,11320513
1110062,창4동,11320514
1110063,창5동,11320515
1110064,도봉1동,11320521
1110065,도봉2동,11320522
1111051,월계1동,11350560
1111052,월계2동,11350570
1111053,월계3동,11350580
1111056,공릉2동,11350600
1111058,하계1동,11350611
1111059,하계2동,11350612
1111060,중계본동,11350619
1111061,중계1동,11350621
1111064,중계4동,11350624
1111065,상계1동,11350630
1111066,상계2동,11350640
1111069,상계5동,11350670
1111072,상계8동,11350700
1111073,상계9동,11350710
1111074,상계10동,11350720
1111076,상계3·4동,11350665
1111077,상계6·7동,11350695
1111078,중계2·3동,11350625
1111079,공릉1동,11350595
1112051,녹번동,11380510
1112052,불광1동,11380520
1112055,갈현1동,11380551
1112056,갈현2동,11380552
1112057,구산동,11380560
1112058,대조동,11380570
1112059,응암1동,11380580
1112060,응암2동,11380590
1112065,신사1동,11380631
1112066,신사2동,11380632
1112067,증산동,11380640
1112068,수색동,11380650
1112071,진관동,11380690
1112072,불광2동,11380530
1112073,응암3동,11380600
1112074,역촌동,11380625
1113052,천연동,11410520
1113062,홍제1동,11410620
1113064,홍제3동,11410640
1113065,홍제2동,11410655
1113066,홍은1동,11410660
1113068,홍은2동,11410685
1113069,남가좌1동,11410690
1113070,남가좌2동,11410700
1113071,북가좌1동,11410710
1113072,북가좌2동,11410720
1113073,충현동,11410565
1113074,북아현동,11410555
1113075,신촌동,11410585
1113076,연희동,11410615
1114059,용강동,11440590
1114060,대흥동,11440600
1114061,염리동,11440610
1114063,신수동,11440630
1114066,서교동,11440660
1114068,합정동,11440680
1114069,망원1동,11440690
1114070,망원2동,11440700
1114071,연남동,11440710
1114072,성산1동,11440720
1114073,성산2동,11440730
1114074,상암동,11440740
1114075,도화동,11440585
1114076,서강동,11440655
1114077,공덕동,11440565
1114078,아현동,11440555
1115051,목1동,11470510
1115052,목2동,11470520
1115053,목3동,11470530
1115054,목4동,11470540
1115057,신월1동,11470560
1115058,신월2동,11470570
1115059,신월3동,11470580
1115060,신월4동,11470590
1115061,신월5동,11470600
1115062,신월6동,11470610
1115063,신월7동,11470611
1115064,신정1동,11470620
1115065,신정2동,11470630
1115066,신정3동,11470640
1115069,신정6동,11470670
1115070,신정7동,11470680
1115071,목5동,11470550
1115072,신정4동,11470650
1116051,염창동,11500510
1116052,등촌1동,11500520
1116053,등촌2동,11500530
1116054,등촌3동,11500535
1116055,화곡본동,11500590
1116057,화곡2동,11500550
1116058,화곡3동,11500560
1116059,화곡4동,11500570
1116061,화곡6동,11500591
1116063,화곡8동,11500593
1116064,가양1동,11500603
1116065,가양2동,11500604
1116066,가양3동,11500605
1116067,발산1동,11500611
1116069,공항동,11500620
1116070,방화1동,11500630
1116071,방화2동,11500640
1116072,방화3동,11500641
1116073,화곡1동,11500540
1116074,우장산동,11500615
1117051,신도림동,11530510
1117052,구로1동,11530520
1117054,구로3동,11530540
1117055,구로4동,11530550
1117056,구로5동,11530560
1117061,고척1동,11530720
1117062,고척2동,11530730
1117064,개봉2동,11530750
1117065,개봉3동,11530760
1117067,오류1동,11530770
1117068,오류2동,11530780
1117069,수궁동,11530790
1117070,가리봉동,11530595
1117071,구로2동,11530530
1117072,개봉1동,11530740
1118051,가산동,11545510
1118052,독산1동,11545610
1118053,독산2동,11545620
1118054,독산3동,11545630
1118055,독산4동,11545640
1118057,시흥1동,11545670
1118058,시흥2동,11545680
1118059,시흥3동,11545690
1118060,시흥4동,11545700
1118061,시흥5동,11545710
1119054,여의동,11560540
1119055,당산1동,11560550
1119056,당산2동,11560560
1119061,양평1동,11560610
1119062,양평2동,11560620
1119063,신길1동,11560630
1119065,신길3동,11560650
1119066,신길4동,11560660
1119067,신길5동,11560670
1119068,신길6동,11560680
1119069,신길7동,11560690
1119070,대림1동,11560700
1119071,대림2동,11560710
1119072,대림3동,11560720
1119073,영등포본동,11560515
1119074,영등포동,11560535
1119075,도림동,11560585
1119076,문래동,11560605
1120052,노량진2동,11590520
1120053,상도1동,11590530
1120054,상도2동,11590540
1120055,상도3동,11590550
1120056,상도4동,11590560
1120063,사당1동,11590620
1120065,사당3동,11590640
1120066,사당4동,11590650
1120067,사당5동,11590651
1120068,대방동,11590660
1120069,신대방1동,11590670
1120070,신대방2동,11590680
1120071,흑석동,11590605
1120072,노량진1동,11590510
1120073,사당2동,11590630
1121052,보라매동,11620525
1121054,청림동,11620545
1121057,행운동,11620575
1121058,낙성대동,11620585
1121061,중앙동,11620615
1121062,인헌동,11620625
1121063,남현동,11620630
1121064,서원동,11620645
1121065,신원동,11620655
1121066,서림동,11620665
1121068,관악구_신사동,11620685
1123051,강남구_신사동,11680510
1121069,신림동,11620695
1121071,난향동,11620715
1121072,조원동,11620725
1121073,대학동,11620735
1121078,은천동,11620605
1121079,성현동,11620565
1121080,청룡동,11620595
1121081,난곡동,11620775
1121082,삼성동,11620745
1121083,미성동,11620765
1122051,서초1동,11650510
1122052,서초2동,11650520
1122053,서초3동,11650530
1122054,서초4동,11650531
1122055,잠원동,11650540
1122056,반포본동,11650550
1122057,반포1동,11650560
1122058,반포2동,11650570
1122059,반포3동,11650580
1122060,반포4동,11650581
1122061,방배본동,11650590
1122062,방배1동,11650600
1122063,방배2동,11650610
1122064,방배3동,11650620
1122065,방배4동,11650621
1122066,양재1동,11650651
1122067,양재2동,11650652
1122068,내곡동,11650660
1123052,논현1동,11680521
1123053,논현2동,11680531
1123058,삼성1동,11680580
1123059,삼성2동,11680590
1123060,대치1동,11680600
1123063,대치4동,11680630
1123064,역삼1동,11680640
1123065,역삼2동,11680650
1123066,도곡1동,11680655
1123067,도곡2동,11680656
1123068,개포1동,11680660
1123071,개포4동,11680690
1123072,일원본동,11680720
1123073,일원1동,11680730
1123075,수서동,11680750
1123076,세곡동,11680700
1123077,압구정동,11680545
1123078,청담동,11680565
1123079,대치2동,11680610
1123080,개포2동,11680670
1124051,풍납1동,11710510
1124052,풍납2동,11710520
1124053,거여1동,11710531
1124054,거여2동,11710532
1124055,마천1동,11710540
1124056,마천2동,11710550
1124057,방이1동,11710561
1124058,방이2동,11710562
1124059,오륜동,11710566
1124060,오금동,11710570
1124061,송파1동,11710580
1124062,송파2동,11710590
1124063,석촌동,11710600
1124064,삼전동,11710610
1124065,가락본동,11710620
1124066,가락1동,11710631
1124067,가락2동,11710632
1124068,문정1동,11710641
1124069,문정2동,11710642
1124070,장지동,11710646
1124071,잠실본동,11710650
1124075,잠실4동,11710690
1124077,잠실6동,11710710
1124078,잠실7동,11710720
1124079,잠실2동,11710670
1124080,잠실3동,11710680
1125051,강일동,11740515
1125053,명일1동,11740530
1125054,명일2동,11740540
1125055,고덕1동,11740550
1125056,고덕2동,11740560
1125058,암사2동,11740580
1125059,암사3동,11740590
1125061,천호1동,11740600
1125063,천호3동,11740620
1125065,성내1동,11740640
1125066,성내2동,11740650
1125067,성내3동,11740660
1125070,둔촌1동,11740690
1125071,둔촌2동,11740700
1125072,암사1동,11740570
1125073,천호2동,11740610
1125074,길동,11740685
