"OBJECTID","SIGNGU_CD","SIGNGU_NM","ADSTRD_CD","ADSTRD_NM","TOT_OA_CD"
24785,"11010","종로구","1101053","사직동","1101053030803"
25026,"11010","종로구","1101053","사직동","1101053030006"
24786,"11010","종로구","1101053","사직동","1101053040001"
24787,"11010","종로구","1101053","사직동","1101053010008"
24775,"11010","종로구","1101053","사직동","1101053020001"
24771,"11010","종로구","1101053","사직동","1101053010001"
24772,"11010","종로구","1101053","사직동","1101053010002"
24773,"11010","종로구","1101053","사직동","1101053010003"
24774,"11010","종로구","1101053","사직동","1101053010004"
24779,"11010","종로구","1101053","사직동","1101053030004"
24776,"11010","종로구","1101053","사직동","1101053030001"
24777,"11010","종로구","1101053","사직동","1101053030002"
24778,"11010","종로구","1101053","사직동","1101053030003"
24783,"11010","종로구","1101053","사직동","1101053030801"
24780,"11010","종로구","1101053","사직동","1101053030005"
24781,"11010","종로구","1101053","사직동","1101053030301"
24782,"11010","종로구","1101053","사직동","1101053030401"
24784,"11010","종로구","1101053","사직동","1101053030802"
24788,"11010","종로구","1101054","삼청동","1101054010001"
24789,"11010","종로구","1101054","삼청동","1101054010002"
24790,"11010","종로구","1101054","삼청동","1101054010003"
24791,"11010","종로구","1101054","삼청동","1101054010004"
24792,"11010","종로구","1101054","삼청동","1101054010005"
24798,"11010","종로구","1101055","부암동","1101055010006"
24799,"11010","종로구","1101055","부암동","1101055010007"
24800,"11010","종로구","1101055","부암동","1101055010008"
24801,"11010","종로구","1101055","부암동","1101055020001"
24793,"11010","종로구","1101055","부암동","1101055010001"
24794,"11010","종로구","1101055","부암동","1101055010002"
24795,"11010","종로구","1101055","부암동","1101055010003"
24796,"11010","종로구","1101055","부암동","1101055010004"
24797,"11010","종로구","1101055","부암동","1101055010005"
24805,"11010","종로구","1101055","부암동","1101055020005"
24802,"11010","종로구","1101055","부암동","1101055020002"
24803,"11010","종로구","1101055","부암동","1101055020003"
24804,"11010","종로구","1101055","부암동","1101055020004"
24806,"11010","종로구","1101055","부암동","1101055020006"
24807,"11010","종로구","1101055","부암동","1101055020007"
24808,"11010","종로구","1101055","부암동","1101055020008"
24824,"11010","종로구","1101056","평창동","1101056050011"
24829,"11010","종로구","1101056","평창동","1101056050015"
24825,"11010","종로구","1101056","평창동","1101056050012"
24827,"11010","종로구","1101056","평창동","1101056050013"
24828,"11010","종로구","1101056","평창동","1101056050014"
24837,"11010","종로구","1101056","평창동","1101056040003"
24810,"11010","종로구","1101056","평창동","1101056010002"
24811,"11010","종로구","1101056","평창동","1101056010003"
24812,"11010","종로구","1101056","평창동","1101056010004"
24813,"11010","종로구","1101056","평창동","1101056010005"
24814,"11010","종로구","1101056","평창동","1101056050001"
24830,"11010","종로구","1101056","평창동","1101056030001"
24831,"11010","종로구","1101056","평창동","1101056030002"
24832,"11010","종로구","1101056","평창동","1101056030003"
24833,"11010","종로구","1101056","평창동","1101056030004"
24834,"11010","종로구","1101056","평창동","1101056030005"
24835,"11010","종로구","1101056","평창동","1101056040001"
24836,"11010","종로구","1101056","평창동","1101056040002"
24809,"11010","종로구","1101056","평창동","1101056010001"
24823,"11010","종로구","1101056","평창동","1101056050010"
24815,"11010","종로구","1101056","평창동","1101056050002"
24816,"11010","종로구","1101056","평창동","1101056050003"
24817,"11010","종로구","1101056","평창동","1101056050004"
24818,"11010","종로구","1101056","평창동","1101056050005"
24819,"11010","종로구","1101056","평창동","1101056050006"
24820,"11010","종로구","1101056","평창동","1101056050007"
24902,"11010","종로구","1101056","평창동","1101056040004"
24903,"11010","종로구","1101056","평창동","1101056040005"
24822,"11010","종로구","1101056","평창동","1101056050009"
24821,"11010","종로구","1101056","평창동","1101056050008"
24908,"11010","종로구","1101057","무악동","1101057010005"
24856,"11010","종로구","1101057","무악동","1101057010007"
24855,"11010","종로구","1101057","무악동","1101057010006"
24863,"11010","종로구","1101057","무악동","1101057010104"
24906,"11010","종로구","1101057","무악동","1101057010003"
24858,"11010","종로구","1101057","무악동","1101057010009"
24907,"11010","종로구","1101057","무악동","1101057010004"
24861,"11010","종로구","1101057","무악동","1101057010103"
24857,"11010","종로구","1101057","무악동","1101057010008"
24905,"11010","종로구","1101057","무악동","1101057010002"
24859,"11010","종로구","1101057","무악동","1101057010101"
24860,"11010","종로구","1101057","무악동","1101057010102"
24904,"11010","종로구","1101057","무악동","1101057010001"
24961,"11010","종로구","1101058","교남동","1101058020005"
24962,"11010","종로구","1101058","교남동","1101058030001"
24963,"11010","종로구","1101058","교남동","1101058030002"
24866,"11010","종로구","1101058","교남동","1101058010003"
24867,"11010","종로구","1101058","교남동","1101058010004"
24868,"11010","종로구","1101058","교남동","1101058010005"
24960,"11010","종로구","1101058","교남동","1101058020004"
24870,"11010","종로구","1101058","교남동","1101058020001"
24864,"11010","종로구","1101058","교남동","1101058010001"
24865,"11010","종로구","1101058","교남동","1101058010002"
