ADSTRD_CD_x,ADSTRD_NM,총합계	
1123068,개포1동,3599
1123080,개포2동,9948
1123071,개포4동,8563
1123052,논현1동,10529
1123053,논현2동,10295
1123060,대치1동,14360
1123079,대치2동,15069
1123063,대치4동,10306
1123066,도곡1동,8974
1123067,도곡2동,13615
1123058,삼성1동,8378
1123059,삼성2동,12080
1123076,세곡동,18782
1123075,수서동,5261
1123051,강남구_신사동,7876
1123077,압구정동,12272
1123064,역삼1동,21372
1123065,역삼2동,15305
1123073,일원1동,4641
1123072,일원본동,8384
1123078,청담동,11850
1125051,강일동,12836
1125055,고덕1동,8722
1125056,고덕2동,7892
1125074,길동,15958
1125070,둔촌1동,562
1125071,둔촌2동,8063
1125053,명일1동,8325
1125054,명일2동,5862
1125065,성내1동,8286
1125066,성내2동,6502
1125067,성내3동,7122
1125072,암사1동,10350
1125058,암사2동,5030
1125059,암사3동,6284
1125061,천호1동,8796
1125073,천호2동,9508
1125063,천호3동,7587
1109070,미아동,4830
1109060,번1동,4736
1109061,번2동,3705
1109062,번3동,4501
1109073,삼각산동,9426
1109069,삼양동,5972
1109071,송중동,6965
1109072,송천동,5807
1109063,수유1동,5633
1109064,수유2동,5375
1109065,수유3동,4984
1109074,우이동,5882
1109075,인수동,7567
1116064,가양1동,25200
1116065,가양2동,4028
1116066,가양3동,6113
1116069,공항동,11752
1116052,등촌1동,9130
1116053,등촌2동,6853
1116054,등촌3동,8933
1116067,발산1동,13878
1116070,방화1동,15154
1116071,방화2동,10023
1116072,방화3동,7419
1116051,염창동,15455
1116074,우장산동,13888
1116073,화곡1동,15950
1116057,화곡2동,4892
1116058,화곡3동,6429
1116059,화곡4동,5822
1116061,화곡6동,7857
1116063,화곡8동,6086
1116055,화곡본동,9158
1121058,낙성대동,3944
1121081,난곡동,6377
1121071,난향동,4856
1121063,남현동,5038
1121073,대학동,4945
1121083,미성동,8381
1121052,보라매동,6144
1121082,삼성동,6120
1121066,서림동,5507
1121064,서원동,5054
1121079,성현동,8363
1121069,신림동,4633
1121068,관악구_신사동,5107
1121065,신원동,3301
1121078,은천동,8725
1121062,인헌동,5906
1121072,조원동,4718
1121061,중앙동,2986
1121080,청룡동,7564
1121054,청림동,4433
1121057,행운동,6288
1105063,광장동,11711
1105060,구의1동,6169
1105061,구의2동,7309
1105062,구의3동,9132
1105054,군자동,5068
1105059,능동,3006
1105064,자양1동,7575
1105065,자양2동,8384
1105066,자양3동,9413
1105067,자양4동,4919
1105055,중곡1동,4831
1105056,중곡2동,5266
1105057,중곡3동,3990
1105058,중곡4동,7471
1105053,화양동,4054
1117070,가리봉동,2769
1117072,개봉1동,11023
