adminCode,adminCode2,Dong,salary_23,salary_45,salary_6a,salary_male,salary_female,salary_avg,sales_음식및음료,sales_소매및판매,sales_문화및여가,sales_서비스,sales_의료,sales_교육,sales_01,sales_23,sales_45,sales_6ab,sales_sum,transport_0006,transport_0612,transport_1218,transport_1824,transport_sum,bus_sum,workers_건설업,"workers_공공 행정, 국방 및 사회보장 행정",workers_교육 서비스업,workers_금융 및 보험업,workers_도매 및 소매,workers_방송통신 및 정보서비스업,workers_보건 및 사회복지 서비스업,workers_부동산 및 임대업,workers_사업시설 관리 및 사업 지원 서비스업,workers_숙박 및 음식점업,"workers_예술, 스포츠 및 여가관련 서비스업",workers_운수업,"workers_전문, 과학 및 기술 서비스업",workers_제조업,"workers_협회 및 단체, 수리 및 기타 개인 서비스업",workers_total,popLiv_01,popLiv_23,popLiv_45,popLiv_6a,popLiv_total,popLiv_male,popLiv_female,popLiv_0006,popLiv_0612,popLiv_1218,popLiv_1824,popReg_total,popReg_01,popReg_23,popReg_45,popReg_6a,popReg_kor,popReg_fori,popReg_male,popReg_female,house_detached,house_apt,house_total,business_total,business_ceo_male,business_ceo_male,business_ceo_20,business_ceo_30,business_ceo_40,business_ceo_50,business_ceo_60,business_ceo_70above,business_개인사업체,business_회사법인,business_회사이외법인,business_비법인단체,business_국가지자체,car_total
11110515,1101072,청운효자동,3120,5058,3857,4819,3833,4344,1648273504,1057895403,58527287,203854597,269188406,194804464,706358393,36928041035,37019280808,10434052210,85087732446,2639,79172,84898,52259,218968,30,53,2533,617,108,582,164,470,91,80,543,509,70,306,73,290,6489,3459,5087,5532,21230,17336,7817,9841,15644,18629,19616,15457,11764,1790,3032,3976,2969,11574,190,5367,6333,1279,260,1539,1007,576,431,26,171,245,309,163,93,755,137,54,38,23,3643
11110530,1101053,사직동,6960,5578,4468,5330,4075,4728,7923034795,2964929888,325702164,780297085,1233467324,368352267,2810853037,1.45E+11,1.45E+11,36038015793,3.29E+11,30775,342415,999137,1041124,2413451,31,3019,5970,1040,4836,2599,2746,842,2114,3456,3486,1368,2022,7265,212,1154,42160,2305,8436,9291,4322,24976,11805,12556,13015,26955,36706,23228,9371,1178,2609,3021,2566,9106,265,4045,5083,650,1591,2241,3551,2459,1092,44,388,974,1280,603,262,1772,1448,202,98,31,7958
11110540,1101054,삼청동,6258,4746,3994,4470,3802,4166,2671539783,1712741942,76029342,9458074,165741939,0,1097899264,60757824734,44277405506,11199322800,1.17E+11,959,20662,65492,46299,133412,16,21,1115,346,44,774,91,99,35,139,1290,143,54,326,122,220,4819,629,1978,1896,6781,5710,2834,2811,3806,6111,8277,4647,2616,330,621,802,865,2313,303,1113,1230,644,654,1298,738,384,354,8,128,207,235,117,43,513,170,33,12,10,789
11110550,1101055,부암동,5932,4908.5,4181,4757,3771,4292,837315411,443399133,45959597,248971999,62429307,319378823,826209800,16663568529,20696302995,6338119290,44524200614,4566,82596,127273,61041,275476,34,44,60,1627,32,489,62,37,40,5,365,64,0,82,103,376,3391,2488,3974,4361,17730,13780,6193,8089,14163,14025,13377,13557,9460,1268,2519,3105,2572,9148,312,4411,4872,1033,121,1154,540,316,224,15,61,147,182,108,27,403,72,20,40,5,3179
11110560,1101056,평창동,6424,5535,4756,5479,4104,4840,1359383202,784541965,93052233,153764008,351994567,425197928,967580188,18215138761,41809947681,18647716377,79640383007,7101,43927,31495,25094,107617,54,71,64,231,70,501,83,335,84,57,559,118,97,244,102,215,2831,2990,4408,5865,23695,17929,7833,10649,19290,18139,16393,17895,17743,2580,4259,5796,5118,17553,190,8266,9460,1553,1009,2562,665,367,298,15,75,142,232,135,66,486,83,35,56,5,6598
11110570,1101057,무악동,6522,5468.5,4064,5303,4093,4761,291265850,777934013,6377246,111594938,635215003,181172006,494017841,12449145248,24304402307,12052588763,49300154159,2259,13181,23645,19252,58337,3,82,12,121,23,149,5,424,66,20,141,12,13,5,0,95,1168,1262,1805,1978,8708,6667,2970,3910,7317,6877,5866,6607,8045,1498,1706,2750,2094,8014,31,3721,4317,48,2703,2751,581,460,121,8,47,115,210,156,45,529,18,7,25,2,2846
11110580,1101058,교남동,5976,4180,3328,4035,3340,3688,490595203,306370589,16551580,180939528,545823098,118184168,191456794,8714438962,15704342785,8758502074,33368740615,5583,77483,118976,88337,290379,24,24,176,180,72,196,20,1840,40,14,189,28,28,192,13,137,3149,1381,1983,2459,9023,7315,3374,4053,6877,7646,7498,7238,9925,1584,2622,3413,2306,9751,174,4543,5318,237,2526,2763,320,217,103,1,31,52,140,63,33,226,45,30,17,2,2938
11110600,1101060,가회동,6511,4772.5,3901,4607,3760,4210,2010592476,756086821,11384264,219131836,150832492,46589101,846567020,36895636069,33330063479,10522160432,81594427000,21,22641,28703,11759,63124,23,5068,414,676,109,391,938,129,31,190,877,189,5,2042,214,184,11457,1027,2308,2520,8390,7132,3554,3572,4765,8140,10043,5580,4084,488,983,1403,1210,3962,122,1832,2125,731,220,951,755,387,368,11,129,199,228,137,51,544,132,46,28,5,1282
11110615,1101061,종로1.2.3.4가동,6235,4738.5,3635,4367,3523,4011,23906046480,12638080845,1394751037,3136600237,5447537782,1028751285,7512735856,5.75E+11,4.69E+11,1.90E+11,1.24E+12,28581,301089,1043626,597157,1970453,67,13101,5798,2921,10699,18444,7410,1431,2360,9836,10408,1160,1716,8016,6017,2713,102464,3311,22261,22604,72161,62487,34153,26018,24872,64325,105245,55504,8711,756,2678,2696,2583,6740,1971,4082,2656,514,959,1473,16072,10991,5081,214,1630,4134,5823,3097,1174,12727,2696,367,243,39,5835
11110630,1101063,종로5.6가동,5912,4157,3309,3912,3224,3632,3281220525,3545113704,1024656332,327868665,3552776118,71639295,905974014,73591721260,1.29E+11,87872173903,2.91E+11,19442,206695,202572,122079,550788,18,348,284,343,880,11631,1430,394,738,692,1944,144,1257,1313,2351,976,24745,848,5143,6271,21091,17091,9012,7668,9072,18944,26430,13918,5896,402,2436,1518,1540,5401,495,2771,2469,730,220,950,7726,5190,2536,120,1052,2207,2560,1299,488,6828,663,114,113,8,1789
