adminCode,adminCode2,Dong,salary_20,salary_30,salary_40,salary_50,salary_60above,salary_male,salary_female,salary_avg,salary_weight1_under2000,salary_weight2_under3000,salary_weight3_under4000,salary_weight4_under5000,salary_weight5_above5000,business_건설업,"business_공공행정,국방및사회보장행정",business_교육서비스업,business_금융및보험업,business_도매및소매,business_방송통신및정보서비스업,business_보건및사회복지서비스업,business_부동산및임대업,business_사업시설관리및사업지원서비스업,business_숙박및음식점업,"business_예술,스포츠및여가관련서비스업",business_운수업,"business_전문,과학및기술서비스업",business_제조업,"business_하수처리,폐기물재활용및환경복원","business_협회및단체,수리및기타개인서비스업",business_total,sales_음식및음료,sales_소매및판매,sales_문화및여가,sales_서비스,sales_의료,sales_교육,sales_10,sales_20,sales_30,sales_40,sales_50,sales_60above,sales_sum,transport_0006,transport_0612,transport_1218,transport_1824,transport_sum,bus_sum,workers_건설업,"workers_공공 행정, 국방 및 사회보장 행정",workers_광업,workers_교육 서비스업,workers_금융 및 보험업,"workers_농업, 임업 및 어업",workers_도매 및 소매,workers_방송통신 및 정보서비스업,workers_보건 및 사회복지 서비스업,workers_부동산 및 임대업,workers_사업시설 관리 및 사업 지원 서비스업,workers_숙박 및 음식점업,"workers_예술, 스포츠 및 여가관련 서비스업",workers_운수업,"workers_전기, 가스, 증기 및 수도사업","workers_전문, 과학 및 기술 서비스업",workers_제조업,"workers_하수 처리, 폐기물 재활용 및 환경 복원","workers_협회 및 단체, 수리 및 기타 개인 서비스업",workers_total,popLiv_total,popLiv_male0,popLiv_male10,popLiv_male20,popLiv_male30,popLiv_male40,popLiv_male50,popLiv_male60,popLiv_male70above,popLiv_male,popLiv_female0,popLiv_female10,popLiv_female20,popLiv_female30,popLiv_female40,popLiv_female50,popLiv_female60,popLiv_female70above,popLiv_female,popLiv_0006,popLiv_0612,popLiv_1218,popLiv_1824,popReg_total,popReg_0,popReg_10,popReg_20,popReg_30,popReg_40,popReg_50,popReg_60,popReg_70,popReg_80above,popReg_kor,popReg_fori,popReg_male,popReg_female,house_detached,house_apt,house_total,business_total,business_ceo_male,business_ceo_male,business_ceo_20,business_ceo_30,business_ceo_40,business_ceo_50,business_ceo_60,business_ceo_70above,business_개인사업체,business_회사법인,business_회사이외법인,business_비법인단체,business_국가지자체,car_total
11110515,1101072,청운효자동,2605,3635,4805,5311,3857,4819,3833,4344,6,18,24,23,29,7,5,28,0,252,45,19,32,0,187,10,0,68,33,0,80,766,1648273504,1057895403,58527287,203854597,269188406,194804464,706358393,16241095570,20686945465,20059512768,16959768040,10434052210,85087732446,2639,79172,84898,52259,218968,30,53,2533,0,617,108,0,582,164,470,91,80,543,509,70,0,306,73,0,290,6489,17336,681,1144,999,1108,1370,1121,696,694,7817,643,991,1603,1377,1691,1350,954,1228,9841,15644,18629,19616,15457,11764,655,1135,1439,1593,2049,1927,1417,921,631,11574,190,5367,6333,1279,260,1539,1007,576,431,26,171,245,309,163,93,755,137,54,38,23,3643
11110530,1101053,사직동,2901,4059,5329,5827,4468,5330,4075,4728,5,16,21,21,37,40,10,79,116,587,214,84,136,368,848,67,260,296,54,0,250,3409,7923034795,2964929888,325702164,780297085,1233467324,368352267,2810853037,61675490071,82896082007,84762620666,60469569337,36038015793,3.29E+11,30775,342415,999137,1041124,2413451,31,3019,5970,0,1040,4836,0,2599,2746,842,2114,3456,3486,1368,2022,0,7265,212,31,1154,42160,24976,439,599,1497,2430,2721,2199,1088,828,11805,501,766,1746,2763,2503,1868,1226,1180,12556,13015,26955,36706,23228,9371,505,673,1107,1502,1484,1537,1268,699,599,9106,265,4045,5083,650,1591,2241,3551,2459,1092,44,388,974,1280,603,262,1772,1448,202,98,31,7958
11110540,1101054,삼청동,2606,3652,4623,4869,3994,4470,3802,4166,7,20,24,24,26,5,0,15,0,265,18,5,6,10,249,6,7,40,15,0,24,665,2671539783,1712741942,76029342,9458074,165741939,0,1097899264,28744723784,32013100950,24535967950,19741437556,11199322800,1.17E+11,959,20662,65492,46299,133412,16,21,1115,0,346,44,0,774,91,99,35,139,1290,143,54,0,326,122,0,220,4819,5710,84,260,575,465,508,464,259,215,2834,98,187,425,513,515,409,343,319,2811,3806,6111,8277,4647,2616,111,219,289,332,418,384,428,253,184,2313,303,1113,1230,644,654,1298,738,384,354,8,128,207,235,117,43,513,170,33,12,10,789
11110550,1101055,부암동,2472,3460,4791,5026,4181,4757,3771,4292,7,19,23,22,28,14,0,22,0,81,0,0,5,0,124,5,0,11,5,0,68,335,837315411,443399133,45959597,248971999,62429307,319378823,826209800,9462659129,7200909400,11700411219,8995891776,6338119290,44524200614,4566,82596,127273,61041,275476,34,44,60,5,1627,32,0,489,62,37,40,5,365,64,0,0,82,103,0,376,3391,13780,417,779,861,770,916,1039,720,685,6193,419,873,1447,896,1268,1138,930,1113,8089,14163,14025,13377,13557,9460,408,860,1267,1252,1446,1659,1336,736,500,9148,312,4411,4872,1033,121,1154,540,316,224,15,61,147,182,108,27,403,72,20,40,5,3179
11110560,1101056,평창동,2651,3773,5239,5831,4756,5479,4104,4840,6,16,19,20,39,7,0,16,0,112,0,10,12,0,140,0,0,0,0,0,73,370,1359383202,784541965,93052233,153764008,351994567,425197928,967580188,6055091736,12160047025,21655066312,20154881369,18647716377,79640383007,7101,43927,31495,25094,107617,54,71,64,0,231,70,0,501,83,335,84,57,559,118,97,0,244,102,0,215,2831,17929,524,851,954,859,1245,1376,1090,932,7833,633,982,1480,1115,1509,1735,1493,1698,10649,19290,18139,16393,17895,17743,1039,1541,2156,2103,2594,3202,2776,1376,966,17553,190,8266,9460,1553,1009,2562,665,367,298,15,75,142,232,135,66,486,83,35,56,5,6598
11110570,1101057,무악동,2580,3942,5349,5588,4064,5303,4093,4761,5,14,22,19,40,0,0,24,0,57,0,0,11,0,58,5,0,0,0,0,50,205,291265850,777934013,6377246,111594938,635215003,181172006,494017841,5326990198,7122155050,13386806947,10917595360,12052588763,49300154159,2259,13181,23645,19252,58337,3,82,12,0,121,23,0,149,5,424,66,20,141,12,13,0,5,0,0,95,1168,6667,224,372,418,352,419,444,362,376,2970,269,397,591,444,572,543,500,590,3910,7317,6877,5866,6607,8045,558,940,850,856,1306,1444,1077,589,428,8014,31,3721,4317,48,2703,2751,581,460,121,8,47,115,210,156,45,529,18,7,25,2,2846
11110580,1101058,교남동,2511,3465,4103,4257,3328,4035,3340,3688,9,23,31,21,16,0,0,13,5,46,6,0,13,0,59,6,0,0,0,0,36,184,490595203,306370589,16551580,180939528,545823098,118184168,191456794,3358848033,5355590929,8158556517,7545786268,8758502074,33368740615,5583,77483,118976,88337,290379,24,24,176,0,180,72,0,196,20,1840,40,14,189,28,28,0,192,13,0,137,3149,7315,362,387,331,469,655,546,319,302,3374,262,370,614,569,682,576,410,565,4053,6877,7646,7498,7238,9925,752,832,1127,1495,1751,1662,1194,700,412,9751,174,4543,5318,237,2526,2763,320,217,103,1,31,52,140,63,33,226,45,30,17,2,2938
11110600,1101060,가회동,2765,3746,4670,4875,3901,4607,3760,4210,8,18,24,24,26,0,0,22,5,163,15,7,11,10,227,26,0,48,18,0,47,599,2010592476,756086821,11384264,219131836,150832492,46589101,846567020,15075307192,21820328877,18514460412,14815603067,10522160432,81594427000,21,22641,28703,11759,63124,23,5068,414,0,676,109,0,391,938,129,31,190,877,189,5,0,2042,214,0,184,11457,7132,140,425,419,709,741,596,288,233,3554,172,290,580,600,639,544,326,417,3572,4765,8140,10043,5580,4084,176,312,436,547,674,729,582,383,245,3962,122,1832,2125,731,220,951,755,387,368,11,129,199,228,137,51,544,132,46,28,5,1282
11110615,1101061,종로1.2.3.4가동,2587,3648,4719,4758,3635,4367,3523,4011,8,23,25,21,23,88,14,319,227,7695,345,165,408,557,2224,247,185,645,1907,0,963,15989,23906046480,12638080845,1394751037,3136600237,5447537782,1028751285,7512735856,2.86E+11,2.89E+11,2.46E+11,2.23E+11,1.90E+11,1.24E+12,28581,301089,1043626,597157,1970453,67,13101,5798,0,2921,10699,0,18444,7410,1431,2360,9836,10408,1160,1716,398,8016,6017,36,2713,102464,62487,720,874,5142,6938,7427,6304,3685,3060,34153,471,1246,4450,5731,4876,3997,2761,2484,26018,24872,64325,105245,55504,8711,344,412,1365,1313,1287,1409,1439,728,416,6740,1971,4082,2656,514,959,1473,16072,10991,5081,214,1630,4134,5823,3097,1174,12727,2696,367,243,39,5835
11110630,1101063,종로5.6가동,2503,3409,4066,4248,3309,3912,3224,3632,9,25,30,22,14,20,0,41,41,5261,56,96,148,62,628,48,55,113,816,0,283,7668,3281220525,3545113704,1024656332,327868665,3552776118,71639295,905974014,29065353523,44526367737,55730953973,72833239604,87872173903,2.91E+11,19442,206695,202572,122079,550788,18,348,284,0,343,880,0,11631,1430,394,738,692,1944,144,1257,0,1313,2351,20,976,24745,17091,98,295,1240,1506,1715,1895,1302,957,9012,99,356,1135,1262,1183,1478,1100,1052,7668,9072,18944,26430,13918,5896,161,241,1483,953,596,922,792,482,266,5401,495,2771,2469,730,220,950,7726,5190,2536,120,1052,2207,2560,1299,488,6828,663,114,113,8,1789
