salary_avg,house_total,business_total,sales_sum,transport_sum,bus_sum,workers_total,popLiv_total,popReg_total,business_total.1,car_total,adminCode,adminCode2,Dong,Cluster
4344,1539,766,85087732446.0,218968,30,6489,17336,11764,1007,3643,11110515,1101072,청운효자동,2
4728,2241,3409,329000000000.0,2413451,31,42160,24976,9371,3551,7958,11110530,1101053,사직동,1
4166,1298,665,117000000000.0,133412,16,4819,5710,2616,738,789,11110540,1101054,삼청동,2
4292,1154,335,44524200614.0,275476,34,3391,13780,9460,540,3179,11110550,1101055,부암동,2
4840,2562,370,79640383007.0,107617,54,2831,17929,17743,665,6598,11110560,1101056,평창동,0
4761,2751,205,49300154159.0,58337,3,1168,6667,8045,581,2846,11110570,1101057,무악동,2
3688,2763,184,33368740615.0,290379,24,3149,7315,9925,320,2938,11110580,1101058,교남동,2
4210,951,599,81594427000.0,63124,23,11457,7132,4084,755,1282,11110600,1101060,가회동,2
4011,1473,15989,1240000000000.0,1970453,67,102464,62487,8711,16072,5835,11110615,1101061,종로1.2.3.4가동,4
3632,950,7668,291000000000.0,550788,18,24745,17091,5896,7726,1789,11110630,1101063,종로5.6가동,1
3661,871,1114,189000000000.0,1524884,20,14500,23910,7651,1338,1706,11110640,1101064,이화동,2
3951,2320,1370,276000000000.0,206065,33,9051,31943,19570,1790,3518,11110650,1101073,혜화동,0
3641,1361,2314,134000000000.0,3698,8,6357,8288,5400,2288,1164,11110670,1101067,창신1동,2
3396,1209,702,59917327403.0,136929,2,2182,9678,8760,844,1411,11110680,1101068,창신2동,2
3937,2041,119,9321771776.0,517082,6,732,4883,6590,261,1699,11110690,1101069,창신3동,2
3838,1298,373,35802948051.0,188918,7,1489,7518,6069,522,1481,11110700,1101070,숭인1동,2
3542,2039,1741,117000000000.0,685659,9,6759,12725,10557,1873,2200,11110710,1101071,숭인2동,2
5405,667,4073,456000000000.0,2371481,27,62169,30208,3558,4208,3994,11140520,1102052,소공동,1
4479,1588,9768,472000000000.0,372684,34,47166,26118,5159,10216,13272,11140540,1102054,회현동,1
4539,451,7040,965000000000.0,2982197,31,105704,39213,3600,6881,8386,11140550,1102055,명동,1
3828,774,3222,167000000000.0,322968,9,24430,12570,4845,3326,2156,11140570,1102057,필동,2
3759,588,768,73329645437.0,1541681,13,7962,12414,5384,908,1308,11140580,1102058,장충동,2
4105,1656,9801,732000000000.0,1393412,20,36057,23658,7013,9459,2443,11140590,1102059,광희동,1
3764,358,9691,227000000000.0,1660103,16,30484,18515,2260,10028,1671,11140605,1102060,을지로동,1
3595,1941,11925,166000000000.0,787680,8,27541,23048,9072,12641,3333,11140615,1102069,신당동,1
3672,1337,1144,131000000000.0,103941,8,8623,15299,13926,1430,3383,11140625,1102070,다산동,2
4329,5512,605,120000000000.0,650735,12,3065,14501,16533,906,4737,11140635,1102071,약수동,0
4092,4328,513,57374591595.0,578206,5,4036,11052,13395,813,3571,11140645,1102072,청구동,2
3789,2886,1080,97178251588.0,175298,9,4059,8170,10472,1346,2973,11140650,1102065,신당5동,2
4256,2834,754,68730721464.0,250454,4,3804,11080,10184,932,2894,11140665,1102073,동화동,2
4022,3435,1877,167000000000.0,218448,7,6098,12964,13693,2038,3428,11140670,1102067,황학동,2
4156,3714,946,89123091898.0,270149,10,7782,8221,12296,1058,3857,11140680,1102068,중림동,2
4020,2088,468,93555287779.0,896828,19,4369,13440,16740,858,4040,11170510,1103051,후암동,2
3751,1479,259,55001645019.0,484834,27,2737,11311,10316,614,2144,11170520,1103052,용산2가동,2
3972,1101,1474,210000000000.0,1129379,21,15681,17526,7552,1706,2602,11170530,1103053,남영동,2
3805,1911,1416,170000000000.0,1306404,24,9122,22914,19856,1890,4299,11170555,1103071,청파동,0
4638,3968,1692,136000000000.0,244114,24,9418,20463,17781,1917,6326,11170560,1103072,원효로1동,0
4586,3750,922,54450493632.0,158254,25,7404,16124,13779,1127,5032,11170570,1103057,원효로2동,0
4266,1855,224,46358723511.0,161724,14,2285,9488,10902,479,3113,11170580,1103058,효창동,2
4410,2725,435,66654159913.0,85507,16,1595,8192,11613,656,3408,11170590,1103059,용문동,2
4742,6097,4574,1010000000000.0,1050117,42,34594,52011,22769,4943,12342,11170625,1103073,한강로동,1
5596,9938,623,206000000000.0,166840,22,3449,25047,25567,836,12516,11170630,1103063,이촌1동,3
4495,2843,152,17828936275.0,77572,9,488,6779,8036,350,3493,11170640,1103064,이촌2동,2
