"기준_년_코드","기준_분기_코드","행정동_코드","행정동_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"2022","4","11740700","둔촌2동","HL","상권축소","127","52","123","56"
"2022","4","11740690","둔촌1동","HH","정체","184","72","123","56"
"2022","4","11740685","길동","LL","다이나믹","118","50","123","56"
"2022","4","11740660","성내3동","HL","상권축소","125","49","123","56"
"2022","4","11740650","성내2동","LL","다이나믹","120","49","123","56"
"2022","4","11740640","성내1동","LL","다이나믹","122","53","123","56"
"2022","4","11740620","천호3동","LL","다이나믹","117","52","123","56"
"2022","4","11740610","천호2동","HL","상권축소","124","55","123","56"
"2022","4","11740600","천호1동","LL","다이나믹","116","51","123","56"
"2022","4","11740590","암사3동","LH","상권확장","105","57","123","56"
"2022","4","11740580","암사2동","LL","다이나믹","117","52","123","56"
"2022","4","11740570","암사1동","LL","다이나믹","114","51","123","56"
"2022","4","11740560","고덕2동","LH","상권확장","90","59","123","56"
"2022","4","11740550","고덕1동","LL","다이나믹","95","54","123","56"
"2022","4","11740540","명일2동","LH","상권확장","118","57","123","56"
"2022","4","11740530","명일1동","LL","다이나믹","120","52","123","56"
"2022","4","11740520","상일동","LH","상권확장","108","59","123","56"
"2022","4","11740515","강일동","LL","다이나믹","74","45","123","56"
"2022","4","11710720","잠실7동","HH","정체","167","74","123","56"
"2022","4","11710710","잠실6동","LH","상권확장","117","58","123","56"
"2022","4","11710690","잠실4동","LL","다이나믹","120","50","123","56"
"2022","4","11710680","잠실3동","HH","정체","146","67","123","56"
"2022","4","11710670","잠실2동","LL","다이나믹","96","43","123","56"
"2022","4","11710650","잠실본동","LL","다이나믹","119","52","123","56"
"2022","4","11710647","위례동","LL","다이나믹","41","28","123","56"
"2022","4","11710646","장지동","LL","다이나믹","111","52","123","56"
"2022","4","11710642","문정2동","LL","다이나믹","82","42","123","56"
"2022","4","11710641","문정1동","LL","다이나믹","119","53","123","56"
"2022","4","11710632","가락2동","HL","상권축소","125","53","123","56"
"2022","4","11710631","가락1동","HH","정체","185","152","123","56"
"2022","4","11710620","가락본동","LL","다이나믹","122","50","123","56"
"2022","4","11710610","삼전동","LL","다이나믹","114","50","123","56"
"2022","4","11710600","석촌동","LL","다이나믹","113","51","123","56"
"2022","4","11710590","송파2동","LL","다이나믹","117","50","123","56"
"2022","4","11710580","송파1동","LL","다이나믹","112","51","123","56"
"2022","4","11710570","오금동","HL","상권축소","126","56","123","56"
"2022","4","11710566","오륜동","HH","정체","148","67","123","56"
"2022","4","11710562","방이2동","LL","다이나믹","115","52","123","56"
"2022","4","11710561","방이1동","LL","다이나믹","111","51","123","56"
"2022","4","11710550","마천2동","HH","정체","130","57","123","56"
"2022","4","11710540","마천1동","HL","상권축소","131","53","123","56"
"2022","4","11710532","거여2동","HH","정체","124","59","123","56"
"2022","4","11710531","거여1동","LL","다이나믹","119","52","123","56"
"2022","4","11710520","풍납2동","HH","정체","144","58","123","56"
"2022","4","11710510","풍납1동","HH","정체","146","58","123","56"
"2022","4","11680750","수서동","HH","정체","133","62","123","56"
"2022","4","11680740","일원2동","HH","정체","137","58","123","56"
"2022","4","11680730","일원1동","HH","정체","131","56","123","56"
"2022","4","11680720","일원본동","LH","상권확장","119","57","123","56"
"2022","4","11680700","세곡동","LL","다이나믹","78","48","123","56"
